statement,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e,correct_answer,position,board,contest,subject,topic,year,explanation,organization,exam,page,question,references,keywords,status,package,package_version
"O Hiperdia, criado através da Portaria nº 371/2002, é parte integrante do Plano Nacional de Reorganização da Atenção à Hipertensão Arterial (HA) e diabetes mellitus (DM). Uma das informações registradas pelo sistema é o sedentarismo; pelo programa é classificado como sedentário quem realiza menos de ______ minutos de exercício, _______ vezes por semana e não faz esforço físico pesado em casa ou no trabalho.",A) 15 / 4,B) 20 / 4,C) 30 / 3,D) 51195.99967592592,E) 21946.999675925927,C,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,saude-do-adulto,pe-diabetico-e-doencas-cronicas,2023,"O Hiperdia classifica como sedentário o indivíduo que realiza menos de 30 minutos de exercício, 3 vezes por semana, sem esforço físico pesado adicional em casa ou no trabalho.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,14,48,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"Texto-base (fragmento): ""Procrastinação: entenda essa inimiga. E livre-se dela."" Adiar tarefas importantes em prol de atividades inúteis é uma tendência universal, com raízes biológicas. A frase 'O homem que adia o trabalho está sempre a lutar com desastres' é da obra 'Os trabalhos e os dias', do poeta grego Hesíodo. O texto discute causas biológicas, psicológicas e sociais da procrastinação, citando a neurocientista Claudia Feitosa-Santana e o professor Joseph Ferrari, além de estratégias para vencer o hábito de adiar tarefas. (Bruno Carbinatto. Disponível em: https://vocesa.abril.com.br. Acesso em: 20/07/2023. Fragmento.)

Em “Não adies para amanhã nem depois de amanhã, pois não enche o celeiro o homem negligente, nem aquele que adia: a atenção faz o trabalho prosperar, [...]” (3º§), o trecho sublinhado “o homem negligente” é classificado sintaticamente como:",A) Sujeito da oração.,B) Predicativo da oração.,C) Objeto direto do verbo “encher”.,D) Objeto indireto do verbo “encher”.,E) Complemento nominal de “celeiro”.,A,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,portugues,sintaxe,2023,"Na construção com sujeito posposto “não enche o celeiro o homem negligente”, o termo “o homem negligente” é o sujeito da oração, concordando com o verbo “enche”.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,4,6,,,ACTIVE,banco-de-questoes-enfermagem,1.0
Podemos afirmar que a Extranet trata-se de uma,A) rede especializada para fornecer acesso à Internet em locais remotos e de difícil acesso.,"B) extensão da Intranet que permite o acesso limitado a parceiros, fornecedores e clientes autorizados.",C) rede pública que permite que várias organizações compartilhem recursos e informações sem restrições.,D) rede local que conecta inúmeros escritórios de uma mesma organização para compartilhamento de arquivos.,E) rede privada que permite o acesso remoto aos recursos internos de uma organização através de autenticação de dois fatores.,B,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,informatica,conceitos-de-internet-e-redes,2023,"A extranet é uma extensão da intranet de uma organização que permite acesso limitado e controlado a parceiros, fornecedores e clientes externos autorizados.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,7,20,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"“A Rede Cegonha é uma estratégia do Sistema Único de Saúde (SUS) do Brasil, lançada em 2011, com o objetivo de reorganizar a atenção à saúde materna e infantil, buscando melhorar a qualidade do atendimento e reduzir a mortalidade materno-infantil. Dentre outros, tem como objetivo fomentar a implementação de um modelo de atenção à saúde da mulher e à saúde da criança com foco na atenção ao parto, ao nascimento, ao crescimento e ao desenvolvimento da criança de zero aos _______ meses.” Assinale a alternativa que completa corretamente a afirmativa anterior.",A) seis,B) doze,C) dezoito,D) vinte e quatro,E) trinta,D,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,saude-da-mulher,assistencia-de-enfermagem-ao-pre-natal-parto-e-puerperio,2023,"A Rede Cegonha tem foco na atenção ao parto, ao nascimento e ao desenvolvimento da criança de zero aos 24 meses de idade.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,10,29,,,ACTIVE,banco-de-questoes-enfermagem,1.0
O Sistema de Informações Sobre Mortalidade (SIM) atua como fonte de dados e de informações que subsidiam a tomada de decisão em diversas áreas da assistência à saúde. O documento básico e essencial à coleta de dados da mortalidade no Brasil é a declaração de óbito. Podemos afirmar que a emissão de tal declaração é de responsabilidade,A) exclusiva do Ministério da Saúde.,B) exclusiva das Secretarias Municipais de Saúde.,C) das Secretarias Estaduais e Municipais de Saúde.,D) do Ministério da Saúde e das Secretarias Estaduais de Saúde.,"E) do Ministério da Saúde, das Secretarias Estaduais e Municipais de Saúde.",A,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,saude-coletiva,sistemas-de-informacao-em-saude-sinan-sim,2023,"A emissão da declaração de óbito, documento básico do SIM, é responsabilidade compartilhada entre o Ministério da Saúde, as Secretarias Estaduais e as Secretarias Municipais de Saúde.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,13,44,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"Considerando o fortalecimento do Sistema Único de Saúde (SUS), mediante a implantação do processo de regulação estabelecido pela Portaria nº 1.559/2008, o complexo regulador é a estrutura que operacionaliza as ações da regulação do acesso, podendo ter abrangência e estrutura pactuadas entre gestores, compreendendo como, por exemplo, o modelo estadual, regional e municipal. Podemos afirmar que o complexo regulador está organizado na Central de Regulação de:",A) Urgências.,B) Consultas e Exames.,C) Internações Hospitalares.,"D) Consultas e Exames; Internações Hospitalares; e, Urgências.","E) Consultas e Exames; Internações Hospitalares; Urgências; e, Alta Complexidade.",D,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,legislacao-do-sus,organizacao-direcao-e-gestao-do-sus,2023,"O complexo regulador organiza-se nas Centrais de Regulação de Consultas e Exames, Internações Hospitalares e Urgências, conforme a Portaria 1.559/2008.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,13,43,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"Com base no MS-Excel, as funções de planilha são categorizadas de acordo com a sua funcionalidade. De acordo com as funções do MS-Excel, para somar o intervalo de células B2 até D5, com o critério de soma de apenas valores menores que 19, deve-se aplicar a seguinte função:",A) Fórmula SOMASE(B2:D5;<19),"B) Fórmula SOMA(B2:D5; ""<19"")",C) Fórmula SOMA(SE(B2:D5<19)),"D) Fórmula SOMASE(B2:D5;""<19"")",E) Fórmula SE(B2:D5<19;SOMA(B2:D5)),D,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,informatica,microsoft-excel,2023,"A função SOMASE exige o critério entre aspas quando envolve operadores de comparação, resultando em =SOMASE(B2:D5;""<19""), a sintaxe correta.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,7,18,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"O Plano Nacional pelo Fim da Tuberculose foi construído considerando a meta de redução da incidência e mortalidade desta doença infecciosa até o ano de 2035. A ILTB ocorre quando uma pessoa se encontra infectada pelo Mycobacterium tuberculosis, sem manifestação da doença ativa. Podemos afirmar que o período de latência tem a durabilidade de",A) até um ano.,B) até dois anos.,C) até seis meses.,D) até quatro anos.,E) se estender por muitos anos.,E,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,enfermagem-em-doencas-transmissiveis,prevencao-e-controle-de-doencas-transmissiveis,2023,"A Infecção Latente da Tuberculose (ILTB) pode se estender por muitos anos, já que o Mycobacterium tuberculosis pode permanecer latente no organismo por longos períodos sem manifestação da doença ativa.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,13,46,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"O acordo de leniência é um ato administrativo negocial decorrente do exercício do poder sancionador do Estado, que visa à responsabilização de pessoas jurídicas pela prática de atos lesivos contra a Administração Pública nacional ou estrangeira. Considerando este acordo, assinale a afirmativa correta.",A) Sua celebração isentará a pessoa jurídica do valor da multa aplicável.,B) Não permite a extensão dos seus efeitos às pessoas jurídicas que integram o mesmo grupo econômico.,C) Sua proposta não poderá receber tratamento sigiloso e tramitará nos mesmos autos do processo administrativo de responsabilização.,D) A propositura e a celebração desse tipo de acordo são de competência exclusiva do Ministério Público no âmbito do inquérito civil ou durante o processamento de ação civil pública.,"E) Descumprido tal acordo, a pessoa jurídica ficará impedida de celebrar novo acordo pelo prazo de três anos contados do conhecimento pela Administração Pública do referido descumprimento.",E,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,legislacao-municipal-e-institucional,lei-anticorrupcao-12846-2013,2023,"A Lei Anticorrupção prevê que, descumprido o acordo de leniência, a pessoa jurídica fica impedida de celebrar novo acordo pelo prazo de três anos, contados do conhecimento pela Administração Pública do respectivo descumprimento.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,6,15,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"A Rede de Atenção às Urgências (RAU) foi implementada no âmbito do Sistema Único de Saúde (SUS) para organizar e otimizar o atendimento às situações de urgência e emergência em saúde. A Rede de Atenção às Urgências (RAU) é constituída pelos seguintes componentes, EXCETO:",A) Hospitalar.,B) Sala de Estabilização.,C) Atenção Básica em Saúde.,"D) Promoção, Prevenção e Vigilância à Saúde.",E) Serviço Nacional de Atenção Integral à Saúde do Trabalhador.,E,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,urgencia-e-emergencia,fundamentos-da-urgencia-e-emergencia,2023,"O “Serviço Nacional de Atenção Integral à Saúde do Trabalhador” não é um componente da Rede de Atenção às Urgências (RAU), que é composta por Promoção/Prevenção/Vigilância, Atenção Básica, SAMU, Sala de Estabilização, Força Nacional de Saúde, UPA/24h, Hospitalar e Atenção Domiciliar.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,9,28,,,ACTIVE,banco-de-questoes-enfermagem,1.0
