statement,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e,correct_answer,position,board,contest,subject,topic,year,explanation,organization,exam,page,question,references,keywords,status,package,package_version,origin
"Conforme a Politica Nacional de Atencao Basica (Portaria no 2.436/2017), assinale a alternativa que descreve corretamente a composicao minima obrigatoria da equipe de Saude da Familia (eSF).","Medico, enfermeiro, cirurgiao-dentista e agente comunitario de saude, sendo facultativa a presenca de auxiliar ou tecnico de enfermagem.","Medico, enfermeiro, auxiliar ou tecnico de enfermagem e agentes comunitarios de saude, sendo facultativa a inclusao de profissionais de saude bucal.","Medico, enfermeiro e agente comunitario de saude exclusivamente, vedada a presenca de qualquer tecnico ou auxiliar de enfermagem na composicao minima.","Enfermeiro, auxiliar ou tecnico de enfermagem e agentes comunitarios de saude, sendo a presenca do medico facultativa conforme disponibilidade municipal.","Medico, enfermeiro, auxiliar ou tecnico de enfermagem, agentes comunitarios de saude e, obrigatoriamente, cirurgiao-dentista e auxiliar de saude bucal.",B,enfermeiro,cebraspe,,politicas-publicas-de-saude,politica-nacional-de-atencao-basica-pnab,,"A composicao minima da eSF e medico, enfermeiro, auxiliar/tecnico de enfermagem e ACS; a equipe de saude bucal (eSB) e uma adicao facultativa. A inverte o que e obrigatorio/facultativo; C exclui indevidamente o aux./tec. de enfermagem; D torna o medico facultativo; E torna a eSB obrigatoria.",,,,,Portaria no 2.436/2017 GM/MS (PNAB).,,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
"Assinale a alternativa correta sobre as equipes de Consultorio na Rua (eCR), modalidade prevista na Politica Nacional de Atencao Basica.",As eCR destinam-se exclusivamente ao atendimento de populacoes rurais em areas de dificil acesso geografico.,"As eCR sao modalidade de equipe da Atencao Basica destinada ao atendimento da populacao em situacao de rua, podendo atuar de forma itinerante conforme a dinamica de ocupacao territorial desse grupo.","As eCR substituem integralmente a eSF nos territorios onde estao implantadas, absorvendo toda a populacao adscrita da area.",A implantacao de eCR e vedada em municipios que ja possuam Unidades Basicas de Saude tradicionais.,"As eCR atuam exclusivamente dentro das dependencias fisicas das UBS, sem deslocamento territorial.",B,enfermeiro,cebraspe,,politicas-publicas-de-saude,politica-nacional-de-atencao-basica-pnab,,"eCR atende a populacao em situacao de rua, com atuacao itinerante. A troca o publico-alvo (rural em vez de situacao de rua); C, D, E sao distorcoes sem base normativa.",,,,,Portaria no 2.436/2017 GM/MS (PNAB).,,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
"A Politica Nacional de Atencao Basica reconhece atributos essenciais e derivados da Atencao Primaria a Saude. Avalie as afirmativas a seguir. I. Acesso de primeiro contato, longitudinalidade, integralidade e coordenacao do cuidado sao atributos essenciais da Atencao Primaria. II. Orientacao familiar, orientacao comunitaria e competencia cultural sao atributos derivados, que qualificam a atuacao dos atributos essenciais. III. A coordenacao do cuidado depende do reconhecimento de problemas abordados em outros pontos de atencao, garantindo a continuidade da assistencia ao usuario na rede. Esta correto o que se afirma em","I, apenas.","I e II, apenas.","I e III, apenas.","II e III, apenas.","I, II e III.",E,enfermeiro,fgv,,politicas-publicas-de-saude,politica-nacional-de-atencao-basica-pnab,,"Os tres itens descrevem corretamente a distincao classica entre atributos essenciais e derivados da APS, incorporada pela PNAB.",,,,,Portaria no 2.436/2017 GM/MS (PNAB).,,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
"De acordo com a Politica Nacional de Atencao Basica, a carga horaria de trabalho dos profissionais que compoem a equipe de Saude da Familia (eSF) deve ser de, no minimo, ______ horas semanais, com dedicacao exclusiva por equipe. Assinale a alternativa que preencha corretamente a lacuna.",20,30,40,44,60,C,enfermeiro,ibfc,,politicas-publicas-de-saude,politica-nacional-de-atencao-basica-pnab,,A PNAB estabelece 40 horas semanais com dedicacao exclusiva como regra geral de referencia para a eSF.,,,,,Portaria no 2.436/2017 GM/MS (PNAB).,,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
"Segundo a Portaria n.o 2.436, de 21 de setembro de 2017 (PNAB), sao atribuicoes comuns a todos os profissionais que compoem as equipes de Atencao Basica, independentemente de sua categoria profissional:","Participar do processo de territorializacao e mapeamento da area de atuacao da equipe, identificando grupos, familias e individuos expostos a riscos e vulnerabilidades.","Prescrever medicamentos de uso continuo para toda a populacao adscrita, independentemente da categoria profissional do executante.","Realizar exclusivamente atividades administrativas de gestao da unidade, delegando toda atividade assistencial a outros niveis de atencao.","Definir, isoladamente, o modelo de financiamento tripartite aplicavel ao municipio.",Substituir as atribuicoes especificas de cada categoria profissional por uma escala unica de atendimento indiferenciado.,A,enfermeiro,coseac,,politicas-publicas-de-saude,politica-nacional-de-atencao-basica-pnab,,"Territorializacao, mapeamento e identificacao de vulnerabilidades sao atribuicoes comuns previstas na PNAB para toda a equipe. B extrapola competencia; C, D, E distorcem o papel das equipes de AB.",,,,,Portaria no 2.436/2017 GM/MS (PNAB).,,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
"Sobre as modalidades de equipes de Atencao Basica previstas para populacoes ribeirinhas na Politica Nacional de Atencao Basica, e correto afirmar que","a PNAB nao preve nenhuma adaptacao de modelo de equipe para populacoes ribeirinhas ou fluviais, aplicando-se a todas as regioes do pais o mesmo modelo de eSF urbana.",a PNAB preve modalidades diferenciadas de equipes (como as Equipes de Saude da Familia Ribeirinhas e Fluviais) para adequar a oferta de Atencao Basica as especificidades geograficas e populacionais de regioes como a Amazonia Legal e o Pantanal Sul-Mato-Grossense.,as equipes ribeirinhas substituem definitivamente o modelo de eSF em todo o territorio nacional a partir de 2017.,"a existencia de equipes diferenciadas para populacoes ribeirinhas depende exclusivamente de financiamento privado, sem previsao de incentivo federal especifico.","as equipes ribeirinhas e fluviais atuam apenas em carater emergencial, sem vinculo longitudinal com a populacao adscrita.",B,enfermeiro,ufpr-nc,,politicas-publicas-de-saude,politica-nacional-de-atencao-basica-pnab,,A PNAB reconhece a diversidade territorial brasileira e preve equipes diferenciadas para regioes como Amazonia Legal e Pantanal. A nega essa previsao; C generaliza indevidamente; D nega o financiamento federal; E contraria o principio da longitudinalidade.,,,,,Portaria no 2.436/2017 GM/MS (PNAB).,,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
"Na Politica Nacional de Humanizacao (PNH), a diretriz denominada ""Ambiencia"" refere-se","exclusivamente aos aspectos esteticos e decorativos dos espacos de saude, sem relacao com o processo de trabalho das equipes.","ao tratamento dado ao espaco fisico entendido como espaco social, profissional e de relacoes interpessoais, que deve propiciar atencao acolhedora, resolutiva e humana, favorecendo a producao de saude e de subjetividades.",unicamente as normas de biosseguranca e controle de infeccao hospitalar aplicaveis as unidades de saude.,"ao dimensionamento de recursos humanos por metro quadrado de unidade de saude, conforme parametro nacional unico.","a substituicao de equipes multiprofissionais por sistemas informatizados de atendimento, reduzindo o contato humano no cuidado.",B,enfermeiro,fgv,,politicas-publicas-de-saude,politica-nacional-de-humanizacao-pnh,,"Ambiencia, na PNH, trata o espaco fisico como espaco social/relacional que favorece o cuidado humanizado, nao apenas a estetica. A reduz o conceito ao decorativo; C confunde com biosseguranca; D e E sao distorcoes sem base na diretriz.",,,,,"HumanizaSUS - Politica Nacional de Humanizacao (Ministerio da Saude, 2003).",,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
"O metodo da Politica Nacional de Humanizacao (PNH) e conhecido como ""metodo da triplice inclusao"". Avalie as afirmativas a seguir sobre esse metodo. I. Inclusao dos movimentos sociais organizados, ampliando o dialogo entre gestao e sociedade civil. II. Inclusao dos coletivos de gestores, trabalhadores e usuarios na analise e no redesenho dos processos de trabalho. III. Inclusao dos sujeitos, considerando seus desejos, necessidades e interesses na producao de saude. IV. Inclusao restrita aos trabalhadores de saude de nivel superior, excluindo os demais membros da equipe do processo decisorio. Esta correto o que se afirma apenas em","I, II e III.",I e II.,II e III.,"I, II, III e IV.",,A,enfermeiro,fgv,,politicas-publicas-de-saude,politica-nacional-de-humanizacao-pnh,,"Os itens I-III descrevem corretamente a triplice inclusao (movimentos sociais, coletivos, sujeitos); IV contraria o principio da PNH, que busca ampliar, nao restringir, a participacao de toda a equipe.",,,,,"HumanizaSUS - Politica Nacional de Humanizacao (Ministerio da Saude, 2003).",,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
"Sobre o historico da Politica Nacional de Humanizacao (PNH) do SUS, e correto afirmar que","a PNH foi a primeira iniciativa de humanizacao do Ministerio da Saude, sem qualquer programa antecessor.","o Programa Nacional de Humanizacao da Assistencia Hospitalar (PNHAH), lancado em 2000 e restrito ao ambiente hospitalar, foi o antecessor direto da PNH, lancada em 2003 com escopo ampliado para toda a rede do SUS.","a PNH substituiu integralmente o PNHAH em 1998, dois anos antes da criacao deste ultimo.","o PNHAH permanece vigente e independente da PNH ate os dias atuais, sem nenhuma relacao historica entre as duas iniciativas.","a PNH foi criada exclusivamente para reorganizar a atencao hospitalar, sem alcance sobre a Atencao Basica ou a gestao do SUS.",B,enfermeiro,centro-de-selecao-da-universidade-federal-de-goias,,politicas-publicas-de-saude,politica-nacional-de-humanizacao-pnh,,"O PNHAH (2000, hospitalar) antecede e e absorvido pela PNH (2003, transversal a toda a rede). As demais alternativas contem inversoes cronologicas ou reducoes indevidas do escopo da PNH.",,,,,"HumanizaSUS - Politica Nacional de Humanizacao (Ministerio da Saude, 2003).",,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
"A Clinica Ampliada e Compartilhada, diretriz da Politica Nacional de Humanizacao (PNH), e uma ferramenta teorica e pratica que busca, entre outros objetivos,","restringir a abordagem clinica exclusivamente aos aspectos biologicos da doenca, evitando a interferencia de fatores sociais e subjetivos no plano terapeutico.","compreender e atuar sobre os processos de saude e adoecimento em sua complexidade, considerando a singularidade do sujeito e a corresponsabilizacao entre equipe, paciente e rede de cuidado no projeto terapeutico.","transferir integralmente a decisao clinica ao paciente, eliminando a responsabilidade tecnica da equipe de saude sobre o plano terapeutico.","padronizar rigidamente o plano terapeutico de todos os pacientes com o mesmo diagnostico, independentemente de suas condicoes sociais e subjetivas.",substituir a avaliacao clinica individual por protocolos exclusivamente epidemiologicos e populacionais.,B,enfermeiro,fundatec,,politicas-publicas-de-saude,politica-nacional-de-humanizacao-pnh,,"A Clinica Ampliada busca ampliar o objeto de trabalho para alem da doenca, com compreensao diagnostica e terapeutica compartilhada, mantendo a responsabilidade tecnica da equipe. A nega a ampliacao; C exagera; D contraria a singularizacao; E nega a dimensao individual da clinica.",,,,,"HumanizaSUS - Politica Nacional de Humanizacao (Ministerio da Saude, 2003).",,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
