Ano,Orgao,Estado,Banca,Cargo,Edital,Prova,Gabarito definitivo,Link do edital,Link da prova,Link do gabarito,Situacao
2024,Prefeitura Municipal de Abreu e Lima,PE,FGV,Enfermeiro,Sim,Sim,Sim,https://conhecimento.fgv.br/concursos,https://conhecimento.fgv.br/sites/default/files/concursos/enfermeirocns201-tipo-1_0.pdf,https://conhecimento.fgv.br/sites/default/files/concursos/pref_abreuelima_gabarito_definitivo_da0a4fs131.pdf,VALIDADO
2024,SES-MT (Secretaria de Estado de Saude de Mato Grosso),MT,FGV,Enfermeiro,Sim,Sim,Sim,https://conhecimento.fgv.br/concursos/sesmt23,https://conhecimento.fgv.br/concursos/sesmt23,https://conhecimento.fgv.br/sites/default/files/concursos/gabarito-definitivo-ses-mt-v2.pdf,VALIDADO
2024,Prefeitura Municipal de Uberaba,MG,Instituto AOCP,Enfermeiro Padrao,Sim,Sim,Sim,https://arquivos.qconcursos.com/regulamento/arquivo/79156/prefeitura_de_uberaba_mg_2024_edital_n_1-edital.pdf,https://www.institutoaocp.org.br/concursos/603,https://www.institutoaocp.org.br/concursos/603,VALIDADO
2023,Prefeitura Municipal de Caraguatatuba,SP,FGV,Enfermeiro,Sim,Sim,Sim,https://conhecimento.fgv.br/concursos,https://conhecimento.fgv.br/concursos,https://conhecimento.fgv.br/sites/default/files/concursos/caraguatatuba2024e0302_gabarito_definitivo_20240226.pdf,VALIDADO
2023,SESPA (Secretaria de Estado de Saude Publica do Para),PA,Instituto Consulplan,Enfermeiro,Sim,Sim,Sim,https://www.consulplan.net/concurso/index/1753,https://www.pciconcursos.com.br/provas/download/enfermeiro-sespa-consulplan-2023,https://arquivos.qconcursos.com/prova/arquivo_gabarito/98032/consulplan-2023-sespa-pa-enfermeiro-gabarito.pdf,VALIDADO
2023,Prefeitura Municipal de Campinas,SP,VUNESP,Enfermeiro,Sim,Sim,Sim,https://www.vunesp.com.br/PCAM2303,https://arquivos.qconcursos.com/prova/arquivo_prova/96736/vunesp-2023-prefeitura-de-campinas-sp-enfermeiro-prova.pdf,https://www.vunesp.com.br/PCAM2303,VALIDADO
2023,Prefeitura Municipal de Uberlandia,MG,Instituto Consulplan,Enfermeiro,Sim,Sim,Sim,https://www.institutoconsulplan.org.br/concursosNovo.aspx,https://www.institutoconsulplan.org.br/concursosNovo.aspx,https://www.institutoconsulplan.org.br/concursosNovo.aspx,VALIDADO
2022,SES-DF (Secretaria de Estado de Saude do Distrito Federal) - Edital 14/2022,DF,IBFC,Enfermeiro,Sim,Sim,Sim,https://fs.ibfc.org.br/arquivos/2362d199e6e615b524eb5dcd50d84b36.pdf,https://fs.ibfc.org.br/arquivos/2207/0sdfcmbd7_Caderno/pdf/CADERNO_IBFC_48.pdf,https://fs.ibfc.org.br/arquivos/2207/0sdfcmbd7_Gabarito_Definitivo_Retificado/pdf/GABARITO_IBFC_48_posrecurso.pdf,"VALIDADO (ja produzido nesta sessao)"
2022,Secretaria Municipal de Saude de Manaus (SEMSA),AM,FGV,Enfermeiro,Sim,Sim,Sim,https://conhecimento.fgv.br/concursos,https://conhecimento.fgv.br/concursos,https://conhecimento.fgv.br/concursos,"VALIDADO (ja produzido nesta sessao)"
2022,Prefeitura Municipal de Curitiba - Edital Normativo 10/2022,PR,NC/UFPR (Nucleo de Concursos),Enfermeiro,Sim,Sim,Sim,https://concursos.curitiba.pr.gov.br,https://servicos.nc.ufpr.br/PortalNC/Concurso?concurso=PMC2022-10,https://servicos.nc.ufpr.br/documentos/pmc2022/provas/gabDefinitivo/gabarito_definitivo_edital_10_2022.html,VALIDADO
