statement,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e,correct_answer,position,board,contest,subject,topic,year,explanation,organization,exam,page,question,references,keywords,status,package,package_version,origin
"O Centro Cirurgico e organizado em zonas com diferentes niveis de restricao de acesso e circulacao, conforme normas de infraestrutura de estabelecimentos de saude. A zona de maior restricao, onde se localizam as salas de cirurgia propriamente ditas, exigindo paramentacao completa, e denominada:","area nao restrita","area semirrestrita","area restrita","area de recepcao de pacientes, exclusivamente","area administrativa","C","enfermeiro","ibfc","","centro-cirurgico-e-cme","assistencia-de-enfermagem-perioperatoria","","A area restrita e a de maior nivel de controle, onde ficam as salas de cirurgia, exigindo paramentacao completa.","","","","","ANVISA, RDC no 50/2002 (zoneamento de estabelecimentos de saude).","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Na area semirrestrita do Centro Cirurgico, tipicamente sao exigidos, no minimo:","nenhuma vestimenta especial, sendo permitido o uso de roupas civis.","uso de gorro e propes, com circulacao de pessoal devidamente paramentado com uniforme privativo da unidade.","paramentacao cirurgica completa (avental esteril, luvas esteris), identica a exigida na sala de cirurgia.","uso exclusivo de calcados fechados, sem qualquer outra exigencia.","acesso irrestrito ao publico em geral, sem qualquer controle.","B","enfermeiro","fgv","","centro-cirurgico-e-cme","assistencia-de-enfermagem-perioperatoria","","A area semirrestrita exige uniforme privativo, gorro e propes, sem exigir a paramentacao esteril completa reservada a sala de cirurgia.","","","","","ANVISA, RDC no 50/2002; literatura de enfermagem perioperatoria.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"O fluxo de materiais e pessoas no Centro Cirurgico deve ser planejado de forma a:","permitir o cruzamento livre entre material limpo/esteril e material contaminado, sem qualquer barreira fisica.","separar, tanto quanto possivel, os fluxos de material limpo/esteril e material contaminado/sujo, reduzindo o risco de contaminacao cruzada.","priorizar exclusivamente a rapidez de deslocamento, independentemente do risco de contaminacao.","ser identico ao fluxo de uma unidade de internacao comum, sem adaptacoes especificas.","dispensar qualquer planejamento formal, ficando a criterio de cada profissional.","B","enfermeiro","cebraspe","","centro-cirurgico-e-cme","assistencia-de-enfermagem-perioperatoria","","A separacao dos fluxos limpo/esteril e contaminado/sujo e principio central do planejamento fisico do Centro Cirurgico.","","","","","ANVISA, RDC no 50/2002.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Na equipe cirurgica, a funcao do enfermeiro circulante, distinta da funcao do enfermeiro instrumentador, caracteriza-se por:","permanecer paramentado de forma esteril durante todo o procedimento, manuseando diretamente o instrumental cirurgico.","atuar fora do campo esteril, sendo responsavel por prover materiais adicionais, documentar o procedimento, e apoiar a equipe esteril sem contato direto com o campo cirurgico.","ser responsavel exclusivamente pela anestesia do paciente.","substituir o cirurgiao em caso de ausencia.","nao ter qualquer atribuicao definida, atuando de forma generica.","B","enfermeiro","fundacao-vunesp","","centro-cirurgico-e-cme","assistencia-de-enfermagem-perioperatoria","","O enfermeiro circulante atua fora do campo esteril, provendo suporte, materiais e documentacao; o instrumentador permanece paramentado de forma esteril, manuseando o instrumental.","","","","","Literatura de enfermagem perioperatoria; SOBECC.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"A paramentacao cirurgica, sequencia de vestimenta que antecede a participacao esteril em um procedimento cirurgico, inclui, entre outros itens:","touca/gorro, mascara cirurgica, escovacao/antissepsia das maos, avental esteril e luvas esteris, nessa ordem logica de contaminacao decrescente para crescente nivel de esterilidade.","apenas luvas esteris, sendo os demais itens opcionais.","avental esteril vestido antes da touca e da mascara.","uso de relogios e aneis, desde que higienizados previamente.","dispensa de mascara quando o procedimento e considerado de curta duracao.","A","enfermeiro","ibfc","","centro-cirurgico-e-cme","assistencia-de-enfermagem-perioperatoria","","A sequencia logica da paramentacao segue do menos ao mais esteril: gorro, mascara, escovacao, avental, luvas.","","","","","SOBECC, Manual de Praticas Recomendadas.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Durante a paramentacao para um procedimento cirurgico, um profissional percebe, apos vestir o avental esteril e calcar as luvas esteris, que a mascara cirurgica esta mal ajustada, com folga nas laterais. A conduta correta e:","ignorar o ajuste da mascara, ja que as luvas e o avental ja estao esteris.","interromper e reajustar a mascara antes de prosseguir, mesmo que isso implique repetir etapas da paramentacao, pois a mascara mal ajustada compromete a barreira de protecao do campo esteril.","concluir o procedimento normalmente, ajustando a mascara apenas ao final.","remover apenas a mascara, sem qualquer outra acao.","solicitar que outro profissional ajuste a mascara sem interromper o procedimento em andamento.","B","enfermeiro","fgv","","centro-cirurgico-e-cme","assistencia-de-enfermagem-perioperatoria","","Uma mascara mal ajustada compromete a barreira de protecao; o ajuste deve ser corrigido antes de prosseguir, mesmo que exija repetir etapas.","","","","","SOBECC, Manual de Praticas Recomendadas.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"A escovacao cirurgica das maos (degermacao), etapa da paramentacao que antecede a colocacao do avental e das luvas esteris, tem como finalidade principal:","apenas a limpeza estetica das maos, sem relacao com prevencao de infeccao.","reduzir a microbiota transitoria e residente das maos e antebracos, diminuindo o risco de contaminacao do campo cirurgico.","substituir integralmente a necessidade de luvas esteris.","ser realizada apenas pelo cirurgiao principal, nao pelos demais membros da equipe esteril.","eliminar completamente todos os microrganismos das maos, tornando-as absolutamente esteris.","B","enfermeiro","cebraspe","","centro-cirurgico-e-cme","assistencia-de-enfermagem-perioperatoria","","A degermacao reduz a microbiota transitoria e residente, diminuindo o risco de contaminacao, sem eliminar completamente todos os microrganismos.","","","","","SOBECC, Manual de Praticas Recomendadas.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Durante a escovacao cirurgica das maos, a tecnica correta orienta que as maos sejam mantidas:","abaixo do nivel dos cotovelos durante todo o procedimento.","acima do nivel dos cotovelos, permitindo que a agua escorra dos dedos em direcao aos cotovelos, e nao o inverso.","na mesma altura do rosto do profissional.","apoiadas sobre a pia durante toda a escovacao.","sem qualquer orientacao especifica de posicionamento.","B","enfermeiro","instituto-aocp","","centro-cirurgico-e-cme","assistencia-de-enfermagem-perioperatoria","","As maos devem permanecer acima do nivel dos cotovelos, com a agua escorrendo dos dedos para os cotovelos, preservando a area de maior esterilidade (maos).","","","","","SOBECC, Manual de Praticas Recomendadas.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Em relacao a manutencao do campo esteril durante um procedimento cirurgico, e correto afirmar que:","apenas a superficie superior de uma mesa coberta com campo esteril e considerada esteril; as bordas e a parte que cai abaixo da borda da mesa sao consideradas contaminadas.","toda a extensao do campo, incluindo as partes que tocam o chao, permanece esteril.","um campo esteril pode ser tocado livremente por profissionais nao paramentados, desde que rapidamente.","a umidade nao compromete a esterilidade de um campo, independentemente do material molhado abaixo dele.","nao ha distincao entre areas esteris e nao esteris dentro do campo cirurgico.","A","enfermeiro","idecan","","centro-cirurgico-e-cme","assistencia-de-enfermagem-perioperatoria","","Apenas a superficie superior de uma mesa coberta e considerada esteril; bordas e partes abaixo do nivel da mesa sao consideradas contaminadas - principio classico de tecnica asseptica.","","","","","SOBECC, Manual de Praticas Recomendadas.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Durante um procedimento cirurgico, o instrumentador percebe que a manga de seu avental esteril tocou acidentalmente uma superficie nao esteril fora do campo cirurgico. A conduta correta e:","continuar o procedimento normalmente, ja que apenas as luvas precisam permanecer esteris.","considerar a area do avental contaminada, comunicar a equipe e trocar o avental (e luvas, se necessario) antes de retornar ao campo esteril.","higienizar a manga com alcool em gel e continuar sem trocar o avental.","apenas cobrir a area tocada com um campo adicional, sem trocar o avental.","aguardar o final do procedimento para relatar o ocorrido.","B","enfermeiro","instituto-consulplan","","centro-cirurgico-e-cme","assistencia-de-enfermagem-perioperatoria","","Contato com superficie nao esteril contamina a area do avental; a conduta correta e comunicar e trocar avental/luvas antes de retornar ao campo.","","","","","SOBECC, Manual de Praticas Recomendadas.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
