statement,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e,correct_answer,position,board,contest,subject,topic,year,explanation,organization,exam,page,question,references,keywords,status,package,package_version,origin
"De acordo com os criterios KDIGO para lesao renal aguda (LRA), amplamente utilizados na pratica clinica, um dos criterios diagnosticos e:","elevacao da creatinina serica em pelo menos 0,3 mg/dL dentro de 48 horas, ou debito urinario menor que 0,5 mL/kg/h por 6 horas.","queda da creatinina serica em qualquer valor, associada a poliuria.","debito urinario maior que 2 mL/kg/h de forma sustentada.","elevacao da creatinina exclusivamente apos 30 dias de evolucao.","ausencia de qualquer alteracao laboratorial, sendo diagnostico exclusivamente clinico.","A","enfermeiro","fgv","","saude-do-adulto","insuficiencia-renal-aguda-e-disturbios-hidroeletroliticos","","Os criterios KDIGO definem LRA por elevacao da creatinina serica >=0,3 mg/dL em 48 horas (ou >=1,5x o valor basal em 7 dias) e/ou debito urinario <0,5 mL/kg/h por pelo menos 6 horas - parametros centrais para o diagnostico precoce e a monitorizacao de enfermagem.","","","","","KDIGO Clinical Practice Guideline for Acute Kidney Injury.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Em relacao as causas de lesao renal aguda, classificadas em pre-renais, renais (intrinsecas) e pos-renais, a hipovolemia grave (por hemorragia ou desidratacao intensa) e classicamente uma causa:","renal intrinseca, por lesao direta do parenquima.","pre-renal, por reducao da perfusao renal sem lesao estrutural inicial do parenquima.","pos-renal, por obstrucao do trato urinario.","exclusivamente relacionada a nefrotoxicidade medicamentosa.","sem relacao com a funcao renal, afetando apenas o volume circulante.","B","enfermeiro","ibfc","","saude-do-adulto","insuficiencia-renal-aguda-e-disturbios-hidroeletroliticos","","A hipovolemia reduz a perfusao renal sem lesao estrutural inicial do parenquima, caracterizando causa pre-renal - potencialmente reversivel se a perfusao for restaurada precocemente, o que reforca a importancia da monitorizacao rigorosa do balanco hidrico pela enfermagem.","","","","","KDIGO Clinical Practice Guideline for Acute Kidney Injury.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Um paciente adulto apresenta hipercalemia grave (potassio serico de 7,2 mEq/L) com alteracoes eletrocardiograficas (ondas T apiculadas, alargamento do QRS). A conduta de enfermagem imediata, em conjunto com a equipe medica, prioriza a administracao de:","apenas diureticos de alca, isoladamente, como primeira medida.","gluconato de calcio endovenoso, para estabilizacao da membrana cardiaca, seguido de medidas para deslocar o potassio para o intracelular (insulina com glicose) e para sua eliminacao.","suplementacao oral de potassio, para correcao gradual.","solucao salina hipertonica isolada, sem qualquer outra medida.","apenas restricao hidrica, sem qualquer intervencao farmacologica.","B","enfermeiro","cebraspe","","saude-do-adulto","insuficiencia-renal-aguda-e-disturbios-hidroeletroliticos","","Na hipercalemia grave com alteracoes eletrocardiograficas, a prioridade e a estabilizacao da membrana cardiaca com gluconato de calcio, seguida de medidas que desloquem o potassio para o meio intracelular (insulina + glicose, beta-agonistas) e, em seguida, medidas de eliminacao (diureticos, resinas de troca, dialise se refrataria).","","","","","Diretrizes de manejo de disturbios hidroeletroliticos graves em adultos.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Em um paciente adulto com hiponatremia cronica grave e assintomatica, um cuidado de enfermagem essencial relacionado a correcao do sodio serico e:","garantir que a correcao seja feita de forma extremamente rapida, para normalizar o sodio em poucas horas.","monitorar rigorosamente a velocidade de correcao do sodio, pois a correcao excessivamente rapida esta associada ao risco de sindrome de desmielinizacao osmotica (mielinolise pontina).","suspender toda e qualquer reposicao de sodio, independentemente da gravidade.","administrar agua livre em grande volume, sem restricao, como unica conduta.","nao ha necessidade de monitorizacao, pois a hiponatremia cronica nao oferece risco.","B","enfermeiro","fgv","","saude-do-adulto","insuficiencia-renal-aguda-e-disturbios-hidroeletroliticos","","A correcao rapida demais da hiponatremia cronica esta associada ao risco de sindrome de desmielinizacao osmotica (mielinolise pontina), grave complicacao neurologica; a monitorizacao rigorosa da velocidade de correcao e cuidado de enfermagem essencial.","","","","","Diretrizes de manejo de disturbios hidroeletroliticos graves em adultos.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"De acordo com a escada analgesica da Organizacao Mundial da Saude (OMS), utilizada como referencia para o manejo da dor cronica nao-oncologica e oncologica, o primeiro degrau (dor leve) indica o uso de:","opioides fortes, isoladamente.","analgesicos nao-opioides (como paracetamol e anti-inflamatorios nao esteroidais), com ou sem adjuvantes.","opioides fracos associados a opioides fortes, simultaneamente.","apenas medidas nao-farmacologicas, com proibicao de qualquer farmaco.","bloqueio anestesico como primeira linha, sem uso de analgesicos sistemicos.","B","enfermeiro","ibfc","","saude-do-adulto","dor-cronica-no-adulto","","O primeiro degrau da escada analgesica da OMS indica analgesicos nao-opioides (paracetamol, AINEs), com ou sem adjuvantes, para dor leve; opioides fracos e fortes sao reservados para os degraus seguintes conforme a intensidade da dor.","","","","","Organizacao Mundial da Saude, escada analgesica para o manejo da dor.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Um paciente adulto relata dor em queimacao, com sensacao de choque eletrico, associada a formigamento e hipersensibilidade ao toque leve em um territorio correspondente a uma raiz nervosa. Essa descricao e mais compativel com dor de caracteristica:","nociceptiva somatica, tipica de lesao tecidual direta (como fraturas).","nociceptiva visceral, tipica de distensao de orgaos ocos.","neuropatica, decorrente de lesao ou disfuncao do sistema nervoso, com necessidade de abordagem farmacologica especifica (como anticonvulsivantes ou antidepressivos adjuvantes), distinta do manejo padrao da dor nociceptiva.","psicogenica, sem qualquer substrato organico identificavel.","identica, em fisiopatologia e tratamento, a dor nociceptiva somatica.","C","enfermeiro","instituto-aocp","","saude-do-adulto","dor-cronica-no-adulto","","Dor em queimacao, choque eletrico, formigamento e hipersensibilidade em territorio de distribuicao nervosa sao caracteristicas classicas de dor neuropatica, que exige abordagem farmacologica distinta (adjuvantes como anticonvulsivantes/antidepressivos), diferente do manejo padrao da dor nociceptiva.","","","","","Diretrizes de avaliacao e manejo da dor cronica no adulto.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Em pacientes adultos com multiplas doencas cronicas (multimorbidade), como diabetes, hipertensao e doenca renal cronica concomitantes, o enfermeiro deve estar particularmente atento ao risco de polifarmacia. Um cuidado de enfermagem essencial nesse contexto e:","considerar que quanto maior o numero de medicamentos, melhor o controle das doencas, sem necessidade de revisao.","realizar a conciliacao medicamentosa periodica, identificando duplicidades terapeuticas, interacoes medicamentosas e a real necessidade de cada farmaco em uso.","delegar exclusivamente ao paciente a decisao de quais medicamentos manter ou suspender, sem orientacao profissional.","evitar qualquer contato com a lista de medicamentos em uso, por nao ser atribuicao da enfermagem.","presumir que medicamentos prescritos ha muito tempo nunca precisam de reavaliacao.","B","enfermeiro","fgv","","saude-do-adulto","seguranca-medicamentosa-no-adulto-com-doenca-cronica","","A conciliacao medicamentosa periodica - identificando duplicidades, interacoes e a real necessidade de cada farmaco - e cuidado essencial de enfermagem para reduzir os riscos da polifarmacia em pacientes com multimorbidade, contribuindo para a seguranca medicamentosa.","","","","","Protocolo de Seguranca na Prescricao, Uso e Administracao de Medicamentos (Ministerio da Saude/ANVISA), aplicado a polifarmacia em doenca cronica.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Em relacao aos 'certos' da administracao segura de medicamentos, aplicaveis ao cuidado do adulto com doenca cronica em uso de multiplos farmacos, e correto afirmar que:","restringem-se a paciente certo e medicamento certo, sendo os demais itens dispensaveis.","incluem, entre outros, paciente certo, medicamento certo, dose certa, via certa, horario certo, registro certo e orientacao certa ao paciente sobre o medicamento administrado.","aplicam-se exclusivamente ao ambiente hospitalar, nao sendo relevantes na atencao primaria ou domiciliar.","dispensam a checagem em pacientes com multiplas comorbidades, por ja estarem habituados a rotina medicamentosa.","sao de responsabilidade exclusiva do farmaceutico, sem participacao da enfermagem.","B","enfermeiro","ibfc","","saude-do-adulto","seguranca-medicamentosa-no-adulto-com-doenca-cronica","","Os 'certos' da administracao segura de medicamentos (paciente, medicamento, dose, via, horario, registro, orientacao, entre outros, conforme a diretriz adotada) constituem barreira de seguranca essencial, aplicavel a qualquer contexto assistencial, sendo ainda mais relevante em pacientes com multimorbidade e polifarmacia.","","","","","Protocolo de Seguranca na Prescricao, Uso e Administracao de Medicamentos (Ministerio da Saude/ANVISA).","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Um paciente adulto apresenta pressao arterial de 190/125 mmHg, associada a sinais de lesao aguda de orgao-alvo (dispneia, dor toracica e alteracao do nivel de consciencia). Esse quadro caracteriza:","urgencia hipertensiva, sem necessidade de reducao imediata da pressao arterial.","emergencia hipertensiva, situacao que exige reducao rapida e controlada da pressao arterial, geralmente com anti-hipertensivos endovenosos e monitorizacao intensiva, dado o risco iminente de lesao de orgao-alvo.","pressao arterial normal para a faixa etaria, sem necessidade de intervencao.","hipertensao do jaleco branco, sem significado clinico.","hipotensao ortostatica, exigindo reposicao volemica isolada.","B","enfermeiro","fgv","","saude-do-adulto","hipertensao-arterial-sistemica","","A presenca de sinais de lesao aguda de orgao-alvo (nao apenas a cifra pressorica isolada) caracteriza emergencia hipertensiva, que exige reducao rapida e controlada da pressao arterial, geralmente com anti-hipertensivos endovenosos e monitorizacao intensiva - distinta da urgencia hipertensiva, em que a elevacao pressorica ocorre sem lesao aguda de orgao-alvo e a reducao pode ser mais gradual.","","","","","Diretrizes Brasileiras de Hipertensao Arterial.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Uma complicacao comum em pacientes com Doenca Renal Cronica (DRC) progressiva e a anemia. Essa anemia esta classicamente relacionada, entre outros fatores, a:","producao excessiva de eritropoietina pelos rins doentes.","deficiencia na producao de eritropoietina pelos rins, hormonio essencial para a estimulacao da eritropoiese na medula ossea.","hemolise macica, sendo a unica causa relevante de anemia na DRC.","ausencia completa de relacao entre funcao renal e producao de hemacias.","policitemia secundaria, com aumento da massa eritrocitaria.","B","enfermeiro","instituto-consulplan","","saude-do-adulto","doenca-renal-cronica-drc","","A anemia na DRC esta classicamente relacionada a deficiencia de producao de eritropoietina pelos rins doentes, hormonio essencial para estimular a eritropoiese na medula ossea - complicacao distinta do angulo ja testado no acervo real (estagio avancado sem indicacao de terapia renal substitutiva).","","","","","Diretrizes KDIGO para Doenca Renal Cronica; protocolos de manejo da anemia na DRC.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
