statement,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e,correct_answer,position,board,contest,subject,topic,year,explanation,organization,exam,page,question,references,keywords,status,package,package_version
"O primeiro parágrafo do texto, que serve de introdução, tem a finalidade básica de","resumir o texto que aparece a seguir, consubstanciado num só parágrafo.","indicar, de forma geral, o conteúdo de todo o livro cujo título é dado logo ao início do parágrafo.",mostrar previamente as injustiças de que o padre Antônio Vieira foi vítima no processo da Inquisição.,"demonstrar a inconsistência das acusações de que o padre Antônio Vieira foi alvo, antecipando sua defesa.",informar aos leitores a situação de prisioneiro do autor do texto a fim de angariar simpatias pelo que vai ser dito.,B,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,portugues,interpretacao-de-texto,2025,"O paragrafo abre citando o titulo completo da obra defendida (""QUINTO IMPERIO"") e resume, de forma ampla, do que trata o livro - funcao introdutoria de carater informativo sobre o conteudo geral da obra, nao de antecipar a defesa ponto a ponto.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,1,,,ACTIVE,banco-de-questoes-enfermagem,1.0
Podemos inferir algumas informações de outras que são dadas no texto. Assinale a única inferência a seguir que se mostra inadequada.,“respostas das proposições censuradas pelos senhores inquisidores” / já tinha ocorrido um julgamento negativo pela Inquisição sobre proposições do padre Antônio Vieira.,“estando recluso nos cárceres do Santo Ofício de Coimbra” / o processo de que é alvo o padre Antônio Vieira é de cunho religioso.,“...e porque a última doença (de que estou mal convalescido) me não deixou com forças nem alento para poder falar em público” / outras doenças já haviam acometido o padre Antônio Vieira.,"“Protesto pois do modo que me é possível, diante desses senhores” / as condições de estar preso impedem uma melhor defesa no processo por parte do padre Antônio Vieira.",“antes disso queriam ouvir de mim tudo o que tivesse que dizer ou alegar para bem dela” / o processo está ainda na fase inicial.,D,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,portugues,interpretacao-de-texto,2025,"O trecho ""do modo que me e possivel"" expressa a limitacao de se defender apenas por escrito, por nao poder falar em publico devido a doenca - nao uma limitacao decorrente do carcere em si; atribuir a limitacao as condicoes de prisao extrapola o que o texto afirma, tornando essa a inferencia inadequada.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,2,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"Observe o seguinte fragmento textual, primeiras palavras do padre Antônio Vieira diante das acusações da Inquisição: Sendo ontem chamado à mesa, me foi dito que estavam nela os senhores inquisidores para sentenciarem a minha causa, e que antes disso queriam ouvir de mim tudo o que tivesse que dizer ou alegar para bem dela; e porque a última doença (de que estou mal convalescido) me não deixou com forças nem alento para poder falar em público, pedi licença para falar por papel, que me foi concedida. Nesse fragmento estão sublinhados cinco termos, na ordem de aparecimento no texto, que se referem coesivamente a termos anteriores. Assinale a opção em que o termo anterior foi mal identificado.",nela – mesa.,disso – sentenciarem a minha causa.,dela – a minha causa.,que – última doença.,que – falar em público.,E,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,portugues,coesao-e-conectivos,2025,"O quinto termo sublinhado, ""que"" (em ""que me foi concedida""), retoma ""licenca para falar por papel"", nao a expressao ""falar em publico"" - a opcao E atribui a esse pronome um referente que nao corresponde ao antecedente real no texto.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,3,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"Sendo ontem chamado à mesa, me foi dito que estavam nela os senhores inquisidores para sentenciarem a minha causa... O advérbio “ontem” se refere",ao dia anterior da escritura do texto.,à véspera da leitura do texto.,ao dia que precede a sentença da causa.,ao dia que vem antes da prisão do religioso.,à véspera da decisão de escrever o livro.,A,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,portugues,semantica-e-vocabulario,2025,"O texto e a propria defesa escrita entregue por Vieira apos ser chamado a mesa; ""ontem"" remete, portanto, ao dia anterior ao da redacao desse documento de defesa, nao a uma data futura ou a marcos posteriores do processo.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,4,,,ACTIVE,banco-de-questoes-enfermagem,1.0
A oração reduzida “para sentenciarem a minha causa” poderia ser corretamente substituída pela seguinte oração desenvolvida:,para que sentenciassem a minha causa.,para a sentença da minha causa.,para que sentenciem a minha causa.,para que seja sentenciada a minha causa.,para que a sentença da minha causa seja dada.,A,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,portugues,sintaxe,2025,"""Para sentenciarem"" e oracao reduzida de infinitivo com sujeito proprio; sua forma desenvolvida correspondente usa o subjuntivo preterito imperfeito: ""para que sentenciassem"".",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,5,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"A forma adequada de reescrever-se a frase “me não deixou com forças nem alento”, com a retirada do advérbio “não”, mantendose o sentido original, é:",me deixou sem forças nem sem alento.,me deixou enfraquecido e com dificuldades respiratórias.,me deixou pálido e desanimado.,me deixou abatido e sem coragem.,me deixou fraco e desalentado.,E,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,portugues,sintaxe,2025,"Retirando o adverbio ""nao"" e mantendo o sentido original (de fraqueza/desanimo), a parafrase correta e ""me deixou fraco e desalentado"", sinonima da ideia negada no texto original.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,6,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"Nesse fragmento textual, os argumentos são apoiados por",opinião pessoal do autor do texto.,testemunhos de autoridades pertinentes.,composição de material inédito.,raciocínio lógico de base indutiva.,tradição do produto anunciado.,B,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,portugues,generos-e-tipologia-textual,2025,"O texto publicitario apoia-se em estudos clinicos (""os estudos clinicos provaram"") e composicao diferenciada, argumento por autoridade/testemunho tecnico, nao em opiniao pessoal ou tradicao do produto.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,7,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"Se trocarmos o verbo “esquecer” da primeira frase por sua forma pronominal “esquecer-se”, a forma correta da nova frase será:",Esquecemo-nos frequentemente de que gengivas saudáveis constituem a base para dentes saudáveis.,Nos esquecemos frequentemente que gengivas saudáveis constituem a base para dentes saudáveis.,Esquecemo-nos frequentemente que gengivas saudáveis constituem a base para dentes saudáveis.,Esquecemos-nos frequentemente de que gengivas saudáveis constituem a base para dentes saudáveis.,Nos esquecemos frequentemente de que gengivas saudáveis constituem a base para dentes saudáveis.,A,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,portugues,sintaxe,2025,"A forma pronominal correta com regencia da preposicao ""de"" exigida por ""esquecer-se de"" e ""Esquecemo-nos frequentemente de que..."", com a proclise/enclise adequada e a regencia preservada.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,8,,,ACTIVE,banco-de-questoes-enfermagem,1.0
A parte final do texto diz: Gengivas naturalmente fortes. Dentes naturalmente fortes. Assinale a opção que apresenta a relação lógica correta entre essas frases.,A primeira frase é consequência da segunda.,As duas frases são logicamente independentes.,A segunda frase é condição da primeira.,A primeira frase é causa da segunda.,A segunda frase é explicação da primeira.,D,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,portugues,coesao-e-conectivos,2025,"""Gengivas fortes"" e indicada como resultado do uso do produto, e ""dentes fortes"" decorre dessa mesma causa; a relacao logica apontada como correta e a de causa e consequencia entre as frases.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,9,,,ACTIVE,banco-de-questoes-enfermagem,1.0
“Esquecemos frequentemente que gengivas saudáveis constituem a base para dentes saudáveis”; nessa frase há a repetição de um adjetivo (saudáveis) com o mesmo sentido. A frase abaixo em que os adjetivos repetidos mostram sentidos diferentes é:,"Existe apenas um momento exato para ir pescar, e esse momento exato é sempre que você puder.",Nada que foi dito já não foi dito antes.,O homem inteligente é o que nunca confunde os inteligentes pontos de vista.,Não há nenhum médico competente que seja absolutamente competente.,"Sabão e educação não agem tão rápido a longo prazo, mas são igualmente eficientes num prazo longo.",C,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,portugues,semantica-e-vocabulario,2025,"Nas demais opcoes, o adjetivo repetido mantem o mesmo sentido (redundancia); em ""inteligente""/""inteligentes pontos de vista"", os sentidos divergem (pessoa perspicaz x pontos de vista sofisticados/complexos).",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,10,,,ACTIVE,banco-de-questoes-enfermagem,1.0
