statement,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e,correct_answer,position,board,contest,subject,topic,year,explanation,organization,exam,page,question,references,keywords,status,package,package_version,origin
"A vacina BCG (Bacilo Calmette-Guerin), que confere protecao contra as formas graves de tuberculose, e administrada, no calendario basico, em:","dose unica, preferencialmente ao nascer, por via intradermica, na regiao do braco direito.","multiplas doses ao longo da vida, por via intramuscular.","via oral, em esquema de 3 doses.","via subcutanea, exclusivamente na adolescencia.","dose unica, exclusivamente aos 15 meses de idade.","A","enfermeiro","ibfc","","imunizacao","calendario-nacional-de-vacinacao","","A BCG e administrada em dose unica, preferencialmente ao nascer, por via intradermica, no braco direito.","","","","","Ministerio da Saude, Manual de Normas e Procedimentos para Vacinacao.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"A vacina Febre Amarela, de virus vivo atenuado, e, em regra, contraindicada para gestantes e pessoas com imunodeficiencia grave. Entretanto, em situacao de risco epidemiologico (ex.: exposicao a area de circulacao viral confirmada), a decisao sobre vacinar uma gestante deve:","ser automaticamente negativa, sem qualquer avaliacao, em qualquer circunstancia.","considerar individualmente o risco-beneficio, avaliado pela equipe de saude, podendo ser indicada quando o risco de exposicao ao virus superar o risco teorico da vacina.","ser tomada exclusivamente pela gestante, sem orientacao tecnica.","ser sempre positiva, independentemente do contexto epidemiologico.","depender exclusivamente da vontade do parceiro da gestante.","B","enfermeiro","fgv","","imunizacao","calendario-nacional-de-vacinacao","","A contraindicacao em gestantes nao e absoluta; em situacao de risco epidemiologico real, a decisao e individualizada por avaliacao de risco-beneficio.","","","","","Ministerio da Saude, Manual de Normas e Procedimentos para Vacinacao.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Um profissional de enfermagem, nao vacinado contra hepatite B (ou com esquema vacinal incompleto/desconhecido), sofre acidente com material perfurocortante contaminado por sangue de paciente com sorologia positiva para hepatite B. A conduta imediata, alem dos cuidados locais com o ferimento, inclui:","aguardar sintomas antes de qualquer conduta profilatica.","avaliacao medica para profilaxia pos-exposicao (que pode incluir vacina e/ou imunoglobulina especifica, conforme situacao vacinal do profissional e protocolo institucional), alem de notificacao do acidente de trabalho.","automedicacao com antibiotico de amplo espectro.","dispensa de qualquer notificacao, por se tratar de rotina do trabalho em saude.","isolamento do profissional por 30 dias, independentemente de avaliacao medica.","B","enfermeiro","cebraspe","","imunizacao","calendario-nacional-de-vacinacao","","Acidente com material biologico exige avaliacao medica para profilaxia pos-exposicao (vacina/imunoglobulina conforme caso) e notificacao, nunca automedicacao ou omissao de registro.","","","","","Ministerio da Saude, protocolos de profilaxia pos-exposicao a material biologico.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Em relacao a via intramuscular de administracao de vacinas, o local preferencial de aplicacao varia conforme a idade do individuo, sendo o vasto lateral da coxa o local preferencial em:","adultos, exclusivamente.","lactentes (menores de 1 ano, especialmente antes de andarem), pela maior massa muscular disponivel nessa faixa etaria.","idosos, exclusivamente.","gestantes, exclusivamente.","nenhuma faixa etaria especifica, sendo sempre indiferente o local.","B","enfermeiro","fundacao-vunesp","","imunizacao","tecnica-de-administracao-de-vacinas","","O vasto lateral da coxa e o local intramuscular preferencial em lactentes, pela massa muscular mais desenvolvida nessa regiao nessa faixa etaria.","","","","","Ministerio da Saude, Manual de Normas e Procedimentos para Vacinacao.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"A via subcutanea de administracao de vacinas, utilizada por exemplo para a vacina triplice viral (SCR) e a vacina febre amarela, caracteriza-se por injecao aplicada com angulo de, aproximadamente:","90 graus, perpendicular a pele.","45 graus em relacao a pele, no tecido subcutaneo.","15 graus, quase paralelo a pele.","nao ha angulo padronizado para via subcutanea.","a via subcutanea nunca e usada para vacinas, apenas para insulina.","B","enfermeiro","ibfc","","imunizacao","tecnica-de-administracao-de-vacinas","","A via subcutanea e aplicada com angulo de aproximadamente 45 graus, atingindo o tecido subcutaneo.","","","","","Ministerio da Saude, Manual de Normas e Procedimentos para Vacinacao.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"A vacina BCG e administrada por via intradermica, tecnica que se caracteriza pela formacao de uma pequena elevacao na pele (papula) no local da aplicacao, e e aplicada, no calendario basico, na regiao:","do braco direito, na insercao inferior do musculo deltoide.","glutea, exclusivamente.","do vasto lateral da coxa.","abdominal.","do couro cabeludo.","A","enfermeiro","fgv","","imunizacao","tecnica-de-administracao-de-vacinas","","A BCG e aplicada por via intradermica na insercao inferior do musculo deltoide do braco direito.","","","","","Ministerio da Saude, Manual de Normas e Procedimentos para Vacinacao.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Em relacao ao aprazamento de doses de uma mesma vacina em esquema de multiplas doses, e tecnicamente correto orientar que, caso uma dose seja aplicada com atraso em relacao a data prevista, a conduta correta e:","reiniciar todo o esquema vacinal desde a primeira dose, independentemente do tempo de atraso.","prosseguir o esquema a partir da dose em atraso, sem necessidade de reinicia-lo, respeitando o intervalo minimo entre as doses subsequentes (o intervalo pode ser prorrogado, mas nao reduzido).","descartar a possibilidade de completar o esquema apos qualquer atraso.","aplicar duas doses simultaneamente para 'compensar' o atraso.","reduzir o intervalo minimo entre as doses restantes para compensar o tempo perdido.","B","enfermeiro","instituto-aocp","","imunizacao","tecnica-de-administracao-de-vacinas","","Atraso em esquema multidose nao exige reinicio; o esquema prossegue da dose atrasada, respeitando o intervalo minimo (que pode ser prorrogado, nunca reduzido).","","","","","Ministerio da Saude, Manual de Normas e Procedimentos para Vacinacao.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Sao consideradas falsas contraindicacoes a vacinacao, nao devendo adiar ou impedir a administracao de vacinas, entre outras situacoes:","doenca aguda grave, com necessidade de internacao hospitalar.","doenca benigna leve, como resfriado comum ou diarreia leve, sem febre, em crianca com bom estado geral.","imunodeficiencia grave, para vacinas de virus vivo atenuado.","historia de reacao anafilatica a dose anterior da mesma vacina.","alergia grave confirmada a componente presente na vacina.","B","enfermeiro","instituto-consulplan","","imunizacao","tecnica-de-administracao-de-vacinas","","Doenca benigna leve, sem febre e com bom estado geral, e falsa contraindicacao - nao adia nem impede a vacinacao.","","","","","Ministerio da Saude, Manual de Normas e Procedimentos para Vacinacao.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"O uso de antibioticos por via oral, em um paciente sem quadro infeccioso grave, em relacao a administracao de vacinas, e considerado:","contraindicacao absoluta, exigindo suspensao do antibiotico antes de vacinar.","falsa contraindicacao - o uso de antibiotico, isoladamente, nao impede a vacinacao.","motivo para aplicar dose reduzida da vacina.","motivo para trocar a via de administracao da vacina.","contraindicacao apenas para vacinas de virus vivo atenuado.","B","enfermeiro","ibfc","","imunizacao","tecnica-de-administracao-de-vacinas","","Uso de antibiotico, isoladamente, e falsa contraindicacao - nao impede a vacinacao.","","","","","Ministerio da Saude, Manual de Normas e Procedimentos para Vacinacao.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Um paciente com imunodeficiencia grave (ex.: em quimioterapia intensiva ou com determinadas imunodeficiencias primarias) necessita de atualizacao vacinal. Em relacao as vacinas de virus vivo atenuado (como triplice viral e febre amarela) nesse contexto, a conduta tecnicamente correta e:","administrar normalmente, sem qualquer restricao, ja que toda vacina e segura.","considerar a imunodeficiencia grave uma contraindicacao real a vacinas de virus vivo atenuado, avaliando individualmente com a equipe medica responsavel antes de qualquer decisao.","administrar em dose dobrada, para compensar a imunossupressao.","substituir automaticamente por soro, sem qualquer avaliacao vacinal especifica.","adiar toda e qualquer vacina, inclusive as inativadas, indefinidamente.","B","enfermeiro","fgv","","imunizacao","tecnica-de-administracao-de-vacinas","","Imunodeficiencia grave e contraindicacao real a vacinas de virus vivo atenuado, exigindo avaliacao individualizada com a equipe medica; vacinas inativadas nao tem essa restricao absoluta.","","","","","Ministerio da Saude, Manual de Normas e Procedimentos para Vacinacao.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
