statement,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e,correct_answer,position,board,contest,subject,topic,year,explanation,organization,exam,page,question,references,keywords,status,package,package_version,origin
"A Organizacao Mundial da Saude, por meio do Protocolo de Cirurgia Segura, adotado no Brasil pelo Ministerio da Saude e pela ANVISA, preconiza a utilizacao de uma lista de verificacao (checklist) dividida em tres momentos cirurgicos. Esses tres momentos sao:","admissao, alta e obito.","entrada (antes da inducao anestesica), pausa (antes da incisao cirurgica) e saida (antes de o paciente deixar a sala).","pre-operatorio, intraoperatorio e pos-operatorio tardio, exclusivamente domiciliar.","triagem, classificacao de risco e alta.","anestesia, cirurgia e recuperacao pos-anestesica, sem etapa de verificacao previa.","B","enfermeiro","ibfc","","enfermagem-medico-cirurgica","cuidado-perioperatorio","","O checklist de cirurgia segura da OMS e dividido em Sign In (entrada, antes da inducao anestesica), Time Out (pausa, antes da incisao) e Sign Out (saida, antes de o paciente deixar a sala).","","","","","OMS/Ministerio da Saude/ANVISA, Protocolo de Cirurgia Segura.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"No pos-operatorio de uma cirurgia ortopedica com colocacao de protese total de quadril, um cuidado de enfermagem fundamental para prevenir luxacao da protese e:","manter o membro operado em rotacao interna e aducao acentuada.","evitar a flexao do quadril alem de 90 graus e a aducao do membro operado, mantendo abducao com coxim entre as pernas.","estimular cruzamento das pernas para conforto do paciente.","manter decubito ventral nas primeiras 48 horas.","suspender a deambulacao por 30 dias, independentemente da orientacao da equipe cirurgica.","B","enfermeiro","fgv","","enfermagem-medico-cirurgica","enfermagem-em-especialidades-cirurgicas","","As precaucoes classicas pos-artroplastia de quadril evitam flexao excessiva e aducao/rotacao interna do membro, usando coxim de abducao para prevenir luxacao da protese.","","","","","Brunner & Suddarth, Enfermagem Medico-Cirurgica.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Um paciente em pos-operatorio de cirurgia digestiva (ressecao intestinal) apresenta, no terceiro dia pos-operatorio, distensao abdominal, ausencia de eliminacao de flatos e ruidos hidroaereos diminuidos. Esses achados sao compativeis com:","infeccao de sitio cirurgico superficial.","ileo paralitico pos-operatorio.","deiscencia de sutura, obrigatoriamente.","trombose venosa profunda.","reacao alergica a antibiotico.","B","enfermeiro","cebraspe","","enfermagem-medico-cirurgica","enfermagem-em-especialidades-cirurgicas","","Distensao abdominal, ausencia de flatos e ruidos hidroaereos diminuidos no pos-operatorio de cirurgia digestiva sao achados classicos de ileo paralitico.","","","","","Brunner & Suddarth, Enfermagem Medico-Cirurgica.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Na avaliacao de uma colostomia recem-confeccionada, a caracteristica de coloracao da mucosa do estoma que indica adequada perfusao sanguinea e:","coloracao palida e esbranquicada.","coloracao rosada a vermelho-vivo, semelhante a mucosa oral.","coloracao azulada/arroxeada (cianotica).","coloracao enegrecida.","coloracao amarelada.","B","enfermeiro","fundacao-vunesp","","enfermagem-medico-cirurgica","estomas-e-feridas-complexas","","Um estoma saudavel apresenta coloracao rosada a vermelho-vivo, semelhante a mucosa oral; palidez, cianose ou enegrecimento indicam comprometimento de perfusao/isquemia/necrose.","","","","","Brunner & Suddarth, Enfermagem Medico-Cirurgica.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Durante a avaliacao de enfermagem de um estoma intestinal, o enfermeiro observa coloracao arroxeada/azulada da mucosa, associada a diminuicao da temperatura local. Essa alteracao sugere:","processo cicatricial normal e esperado nas primeiras 24 horas.","possivel comprometimento da perfusao sanguinea/isquemia do estoma, exigindo comunicacao imediata a equipe cirurgica.","simples irritacao por adesivo da bolsa coletora, sem necessidade de conduta adicional.","sinal caracteristico de infeccao fungica periestomal, tratavel apenas com antifungico topico.","achado esperado em estomas de eliminacao urinaria, sem relacao com perfusao.","B","enfermeiro","instituto-aocp","","enfermagem-medico-cirurgica","estomas-e-feridas-complexas","","Coloracao arroxeada/azulada associada a queda de temperatura local e sinal de alarme de comprometimento vascular do estoma, exigindo comunicacao imediata a equipe cirurgica.","","","","","Brunner & Suddarth, Enfermagem Medico-Cirurgica.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Nos cuidados de enfermagem ao paciente oncologico em fase de cuidados paliativos, o foco principal da assistencia e:","a busca pela cura da doenca a qualquer custo, mesmo com sofrimento associado.","o controle de sintomas, o conforto e a qualidade de vida do paciente e de sua familia.","exclusivamente a administracao de quimioterapia paliativa em altas doses.","a suspensao de todo e qualquer cuidado de enfermagem apos a indicacao paliativa.","a decisao unilateral do enfermeiro sobre a continuidade ou nao do tratamento.","B","enfermeiro","idecan","","enfermagem-medico-cirurgica","oncologia","","Cuidados paliativos priorizam controle de sintomas, conforto e qualidade de vida do paciente e da familia, nao a busca pela cura.","","","","","Ministerio da Saude; Politica Nacional de Atencao Oncologica.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Em relacao a comunicacao de mas noticias e ao suporte psicossocial ao paciente oncologico e a sua familia, e atribuicao da equipe de enfermagem:","comunicar isoladamente o diagnostico e o prognostico ao paciente, sem envolvimento da equipe medica.","oferecer escuta ativa, acolhimento e suporte emocional, em articulacao com a equipe multiprofissional.","omitir informacoes sobre o estado clinico sempre que a familia solicitar, independentemente da vontade do paciente.","restringir a visita de familiares como rotina padrao para pacientes oncologicos.","delegar toda comunicacao exclusivamente ao capelao/servico religioso da instituicao.","B","enfermeiro","instituto-consulplan","","enfermagem-medico-cirurgica","oncologia","","A enfermagem oferece escuta ativa, acolhimento e suporte emocional em articulacao com a equipe multiprofissional, sem assumir isoladamente comunicacoes que sao de responsabilidade medica nem omitir informacao contra a vontade do paciente.","","","","","Ministerio da Saude; principios de cuidados paliativos oncologicos.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Na insuficiencia cardiaca, um dos principais parametros de monitorizacao de enfermagem para identificar sinais de congestao e retencao hidrica e:","o peso corporal diario, no mesmo horario e condicoes.","exclusivamente a temperatura axilar.","a glicemia capilar, isoladamente.","apenas a frequencia respiratoria em repouso.","o tempo de enchimento capilar, isoladamente.","A","enfermeiro","cebraspe","","enfermagem-medico-cirurgica","doencas-cardiovasculares","","O peso corporal diario, aferido em condicoes padronizadas, e parametro classico de monitorizacao de retencao hidrica na insuficiencia cardiaca.","","","","","Sociedade Brasileira de Cardiologia; Brunner & Suddarth.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"A angina do peito, manifestacao clinica da doenca arterial coronariana, caracteriza-se tipicamente por dor ou desconforto toracico que:","piora exclusivamente com o repouso e melhora com o esforco fisico.","esta relacionada a isquemia miocardica transitoria, geralmente desencadeada por esforco fisico ou estresse, e aliviada com repouso ou nitrato.","nunca se irradia para outras regioes do corpo.","e sempre acompanhada de febre alta.","nao tem qualquer relacao com esforco fisico.","B","enfermeiro","fgv","","enfermagem-medico-cirurgica","doencas-cardiovasculares","","A angina tipica decorre de isquemia miocardica transitoria, desencadeada por esforco/estresse e aliviada com repouso ou nitrato.","","","","","Sociedade Brasileira de Cardiologia; Brunner & Suddarth.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Um paciente em acompanhamento ambulatorial por arritmia cardiaca cronica relata episodios de palpitacao associados a tontura. Diante desse quadro, a conduta de enfermagem mais adequada e:","orientar o paciente a ignorar os sintomas, pois arritmias cronicas nunca requerem investigacao adicional.","registrar detalhadamente os sintomas e a frequencia dos episodios, orientando o paciente a buscar avaliacao medica para investigacao e ajuste terapeutico.","suspender por conta propria a medicacao antiarritmica prescrita.","orientar aumento da ingesta de cafeina para 'regularizar' o ritmo cardiaco.","indicar automedicacao com anti-hipertensivo de outro paciente da familia.","B","enfermeiro","ibfc","","enfermagem-medico-cirurgica","doencas-cardiovasculares","","O enfermeiro registra e documenta os sintomas, orientando avaliacao medica para investigacao e ajuste terapeutico, sem alterar tratamento por conta propria.","","","","","Brunner & Suddarth, Enfermagem Medico-Cirurgica.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
