statement,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e,correct_answer,position,board,contest,subject,topic,year,explanation,organization,exam,page,question,references,keywords,status,package,package_version,origin
"A Politica de Governanca da Administracao Publica Federal, disciplinada pelo Decreto no 9.203/2017 e aplicavel a empresas publicas federais como a EBSERH, estabelece principios que devem orientar a atuacao institucional. Um desses principios, relacionado a obrigacao de prestar contas de forma clara e tempestiva a sociedade sobre a gestao dos recursos e resultados alcancados, e denominado:","capacidade de resposta.","accountability (prestacao de contas e responsabilidade).","melhoria regulatoria.","confiabilidade.","subsidiariedade.","B","enfermeiro","ibfc","","legislacao-aplicada-a-ebserh","governanca-corporativa-e-integridade-da-ebserh","","O Decreto no 9.203/2017 lista, entre os principios da governanca publica federal, a responsabilidade (accountability) - a obrigacao dos agentes de governanca de prestar contas de sua atuacao, assumindo integralmente as consequencias de seus atos e omissoes.","","","","","Decreto no 9.203/2017, art. 3o.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Na EBSERH, a funcao de compliance corresponde a:","um conjunto de mecanismos e procedimentos internos destinados a assegurar a conformidade das atividades da empresa as normas legais e regulamentares aplicaveis, aos atos normativos internos e aos principios de integridade institucional, com atuacao preventiva.","exclusivamente a auditoria interna a posteriori, sem qualquer carater preventivo.","a mesma funcao da Ouvidoria-Geral, sendo termos sinonimos.","uma exigencia aplicavel apenas as empresas privadas, nao as publicas federais.","restrita a conformidade financeiro-contabil, excluindo normas eticas e de integridade.","A","enfermeiro","cebraspe","","legislacao-aplicada-a-ebserh","governanca-corporativa-e-integridade-da-ebserh","","Compliance, na acepcao adotada pela governanca publica federal, e essencialmente preventivo, voltado a assegurar conformidade e integridade antes da ocorrencia de irregularidades - distinto da auditoria (avaliacao a posteriori) e da Ouvidoria (canal de manifestacao), aplicavel tambem a empresas publicas federais como a EBSERH.","","","","","Decreto no 9.203/2017, arts. 19-22 (integridade e conformidade).","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"O modelo de linhas de defesa, adotado pela gestao de riscos na administracao publica federal e aplicavel a estrutura de governanca da EBSERH, organiza as responsabilidades de controle em camadas. Nesse modelo, a responsabilidade primaria pela gestao do risco no dia a dia das atividades cabe:","exclusivamente a auditoria interna.","exclusivamente ao orgao de controle externo (TCU).","as proprias unidades gestoras/finalisticas, na execucao de suas atividades cotidianas - a chamada primeira linha de defesa.","exclusivamente a alta administracao, sem participacao das areas tecnicas.","exclusivamente ao Ministerio da Transparencia.","C","enfermeiro","fgv","","legislacao-aplicada-a-ebserh","governanca-corporativa-e-integridade-da-ebserh","","No modelo de linhas de defesa, a primeira linha e composta pelas proprias unidades gestoras/operacionais, responsaveis por identificar e gerenciar riscos no exercicio cotidiano de suas atividades; a segunda linha (risco/compliance/controles internos) supervisiona, e a terceira (auditoria interna) avalia de forma independente.","","","","","Instrucao Normativa Conjunta MP/CGU no 1/2016; Decreto no 9.203/2017.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"O Programa de Integridade de uma empresa publica federal como a EBSERH tem como finalidade principal:","substituir integralmente as funcoes da Ouvidoria e da Comissao de Etica.","prevenir, detectar, punir e remediar fraudes, irregularidades e desvios de conduta, por meio de mecanismos e procedimentos internos de integridade, auditoria, incentivo a denuncia e aplicacao efetiva de codigos de etica.","atuar exclusivamente apos a instauracao de processo administrativo disciplinar.","restringir-se ao controle financeiro-orcamentario da empresa.","ser aplicado apenas aos cargos de direcao, excluindo os demais empregados.","B","enfermeiro","instituto-aocp","","legislacao-aplicada-a-ebserh","governanca-corporativa-e-integridade-da-ebserh","","O Programa de Integridade caracteriza-se pelo conjunto de mecanismos e procedimentos internos de integridade, auditoria, incentivo a denuncia de irregularidades e aplicacao efetiva de codigos de etica, com atuacao que abrange prevencao, deteccao e remediacao - nao e restrito a uma unica area nem atua apenas repressivamente.","","","","","Decreto no 9.203/2017, art. 19; principios gerais de programas de integridade na administracao publica federal.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Em relacao a transparencia institucional da EBSERH, e correto afirmar que:","a divulgacao de informacoes institucionais e discricionaria, podendo a empresa optar livremente por nao publicar dados de gestao.","a transparencia ativa consiste na disponibilizacao espontanea de informacoes de interesse publico (como relatorios de gestao e dados institucionais), independentemente de requerimento, em complemento ao direito de acesso a informacao mediante solicitacao.","a EBSERH esta dispensada da Lei de Acesso a Informacao por se tratar de empresa publica.","a transparencia se aplica apenas as informacoes financeiras, excluindo dados de governanca e gestao de pessoas.","apenas o Conselho Fiscal tem acesso as informacoes de gestao, sendo estas sigilosas para os demais publicos.","B","enfermeiro","ibfc","","legislacao-aplicada-a-ebserh","governanca-corporativa-e-integridade-da-ebserh","","A transparencia ativa consiste na divulgacao espontanea de informacoes de interesse coletivo, complementando o direito de acesso a informacao mediante requerimento; empresas publicas federais, como a EBSERH, estao sujeitas a Lei de Acesso a Informacao.","","","","","Lei no 12.527/2011 (Lei de Acesso a Informacao); Decreto no 9.203/2017 (principio da transparencia).","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Em relacao a aplicabilidade da Lei Geral de Protecao de Dados Pessoais (Lei no 13.709/2018) a EBSERH, e correto afirmar que:","por se tratar de empresa publica federal, a EBSERH esta dispensada da observancia da LGPD.","a EBSERH esta sujeita a LGPD, inclusive quanto ao tratamento de dados pessoais sensiveis de pacientes (dados de saude), observando as bases legais especificas do regime aplicavel ao tratamento de dados pelo Poder Publico para execucao de politicas publicas.","a LGPD aplica-se apenas a empresas privadas de tecnologia.","dados de saude nao sao considerados dados pessoais sensiveis pela LGPD.","a aplicacao da LGPD a EBSERH depende de regulamentacao estadual especifica.","B","enfermeiro","cebraspe","","legislacao-aplicada-a-ebserh","lgpd-aplicada-a-ebserh","","A LGPD aplica-se a pessoas juridicas de direito publico, incluindo empresas publicas prestadoras de servicos publicos como a EBSERH; o tratamento de dados de saude (dado pessoal sensivel) por entes publicos observa as bases legais do regime especifico previsto no Capitulo IV da LGPD, voltado a execucao de politicas publicas.","","","","","Lei no 13.709/2018 (LGPD), arts. 5o, 11 e 23.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"De acordo com a Lei Geral de Protecao de Dados Pessoais (Lei no 13.709/2018), entidades da administracao publica que tratam dados pessoais, como a EBSERH, devem indicar um agente responsavel pelo tratamento de dados pessoais perante os titulares e a Autoridade Nacional de Protecao de Dados, cuja identidade e informacoes de contato devem ser divulgadas publicamente. Esse agente e denominado:","Diretor de Compliance.","Ouvidor-Geral.","Encarregado pelo Tratamento de Dados Pessoais (Data Protection Officer/DPO).","Auditor-Geral.","Presidente do Conselho Fiscal.","C","enfermeiro","ibfc","","legislacao-aplicada-a-ebserh","lgpd-aplicada-a-ebserh","","A LGPD exige que o controlador - incluindo orgaos e entidades publicas - indique um Encarregado pelo Tratamento de Dados Pessoais (Encarregado/DPO), cuja identidade e informacoes de contato devem ser divulgadas publicamente, sendo esse o canal de comunicacao entre titulares, controlador e Autoridade Nacional de Protecao de Dados (ANPD).","","","","","Lei no 13.709/2018 (LGPD), art. 41.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"No ambito da gestao de pessoas da EBSERH, a humanizacao institucional aplicada aos hospitais universitarios federais sob sua gestao esta diretamente relacionada:","exclusivamente a protocolos clinicos assistenciais, sem qualquer relacao com a gestao de pessoas.","a valorizacao do trabalhador da saude e a promocao de ambientes de trabalho saudaveis como condicao para a qualidade do cuidado prestado, integrando a politica de gestao de pessoas da empresa.","unicamente a Ouvidoria-Geral, responsavel isolada pela humanizacao institucional.","a uma exigencia aplicavel apenas aos cargos da Diretoria Executiva.","a substituicao integral das normas disciplinares de pessoal por diretrizes de humanizacao.","B","enfermeiro","fgv","","legislacao-aplicada-a-ebserh","humanizacao-e-gestao-de-pessoas-na-ebserh","","A humanizacao institucional na EBSERH, sob o angulo da gestao de pessoas, articula a valorizacao do trabalhador e a promocao de ambientes de trabalho saudaveis como condicao para a qualidade do cuidado - dimensao distinta da Politica Nacional de Humanizacao (PNH) do SUS, que trata do metodo assistencial em sentido amplo aplicavel a toda a rede de saude.","","","","","Diretrizes institucionais de gestao de pessoas da EBSERH.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"A politica de gestao de pessoas da EBSERH, distinta do regime disciplinar previsto no Regulamento de Pessoal, contempla como eixo proprio:","exclusivamente a aplicacao de penalidades disciplinares.","o desenvolvimento e a capacitacao continuada dos empregados, com vistas a valorizacao profissional e a qualidade da assistencia prestada nos hospitais universitarios federais.","apenas criterios de dimensionamento de quadro de pessoal, sem qualquer componente de desenvolvimento profissional.","a delegacao integral da gestao de pessoas aos hospitais universitarios, sem diretriz institucional central.","restricao de capacitacao exclusivamente aos cargos de gestao.","B","enfermeiro","instituto-aocp","","legislacao-aplicada-a-ebserh","humanizacao-e-gestao-de-pessoas-na-ebserh","","A politica de gestao de pessoas da EBSERH contempla o desenvolvimento e a capacitacao continuada dos empregados como eixo de valorizacao profissional - dimensao distinta e complementar ao regime disciplinar (penalidades, responsabilidades), ja tratado pelo Regulamento de Pessoal.","","","","","Diretrizes institucionais de gestao de pessoas e educacao permanente da EBSERH.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Entre as competencias do Conselho de Administracao da EBSERH, previstas no Estatuto Social aprovado pelo Decreto no 7.661/2011, incluem-se:","aprovar o orcamento e o plano de acao anual da empresa, eleger e destituir os membros da Diretoria Executiva, e fiscalizar a gestao dos diretores, examinando os livros e documentos da empresa a qualquer tempo.","exclusivamente a representacao judicial da empresa, sem qualquer atribuicao orcamentaria.","apenas a nomeacao do Ouvidor-Geral, sem qualquer atribuicao sobre a Diretoria Executiva.","a execucao direta dos servicos assistenciais nos hospitais universitarios federais.","a auditoria interna das contas da empresa, em substituicao ao Conselho Fiscal.","A","enfermeiro","cebraspe","","legislacao-aplicada-a-ebserh","estatuto-da-ebserh","","O Conselho de Administracao, como orgao de administracao superior da EBSERH, detem competencias de natureza estrategica e fiscalizatoria sobre a Diretoria Executiva, incluindo aprovacao orcamentaria, eleicao/destituicao de diretores e fiscalizacao da gestao.","","","","","Estatuto Social da EBSERH (Decreto no 7.661/2011).","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
