statement,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e,correct_answer,position,board,contest,subject,topic,year,explanation,organization,exam,page,question,references,keywords,status,package,package_version
A história é apresentada ao leitor por meio de um narrador personagem provocando o seguinte efeito expressivo:,a ênfase na concisão priorizando as ações e eliminando os termos qualificadores.,a parcialidade na apresentação das ações e na caracterização dos personagens.,o emprego exclusivo de adjetivos objetivos aproximando mais o leitor da realidade.,a condução de informações conflitantes inviabilizando a apreensão dos fatos.,,B,enfermeiro,ibfc,concurso-publico-sesacre-edital-01-2022,portugues,interpretacao-de-texto,2022,"Narrador-personagem filtra fatos com parcialidade na apresentação das ações e na caracterização, produzindo o efeito expressivo indicado na alternativa B.",,,3,1,,narrador personagem; parcialidade; conto; efeito expressivo; difficulty:Média,ACTIVE,,
"Em “Mas possuía o que qualquer criança” (1º§), o vocábulo destacado cumpre um papel importante na produção de sentido. Morfologicamente, deve ser classificado como pronome:",pessoal do caso reto.,demonstrativo.,pessoal do caso oblíquo.,indefinido.,,B,enfermeiro,ibfc,concurso-publico-sesacre-edital-01-2022,portugues,morfologia-classes-de-palavras,2022,"Em contexto anafórico, 'Mas' retoma elemento anterior como pronome demonstrativo, conforme classificação morfológica da alternativa B.",,,3,2,,pronome demonstrativo; morfologia; producao de sentido; vocábulo mas; difficulty:Média,ACTIVE,,
"Um texto narrativo é marcado por uma sequência de ações que constituem o enredo. Geralmente, parte-se de uma situação de normalidade até que essa é “quebrada” para que se instaure um conflito. No conto de Clarice, esse conflito é introduzido pela passagem:",“Como se não bastasse enchia os dois bolsos da blusa” (1º§),“Pouco aproveitava. E nós menos ainda:” (2º§),“Até que veio para ela o magno dia de começar” (4º§),"“Era um livro grosso, meu Deus, era um livro” (5º§)",,C,enfermeiro,ibfc,concurso-publico-sesacre-edital-01-2022,portugues,generos-e-tipologia-textual,2022,"O conflito narrativo instaura-se quando a rotina é quebrada; no conto, isso ocorre com o início da leitura ('magno dia de começar'), alternativa C.",,,3,3,,enredo; conflito narrativo; conto; sequencia de acoes; difficulty:Média,ACTIVE,,
"Nos períodos “Era um livro grosso, meu Deus, era um livro para se ficar vivendo com ele, comendo-o, dormindo-o. E completamente acima de minhas posses.” (5º§), estabelece-se uma relação de sentido na qual:",o segundo explicita uma informação já citada no primeiro.,a última oração do primeiro é o sujeito oracional do segundo.,“meu Deus” é elemento sintático essencial nos dois períodos.,"uma das orações do primeiro está implícita no segundo. 2 IBFC_11 Considere a passagem “E eu, que não era dada a olheiras, sentia as olheiras se cavando sob os meus olhos espantados.” (10º§) para responder às questões 5 e 6 a seguir.",,D,enfermeiro,ibfc,concurso-publico-sesacre-edital-01-2022,portugues,coesao-e-conectivos,2022,"A última oração do primeiro período funciona como sujeito oracional do segundo, estabelecendo relação coesiva descrita na alternativa B.",,,3,4,,relacao de sentido; periodos; coesao textual; sujeito oracional; difficulty:Média,ACTIVE,,
"A respeito da oração destacada, é correto afirmar que possui:",dependência sintática e caráter adjetivo.,independência sintática e caráter substantivo.,dependência sintática e caráter adverbial.,independência sintática e caráter pronominal.,,A,enfermeiro,ibfc,concurso-publico-sesacre-edital-01-2022,portugues,sintaxe,2022,"A oração destacada exerce função sintática compatível com a alternativa A, conforme análise do período no enunciado.",,,4,5,,oracao subordinada; funcao sintatica; sintaxe; periodo composto; difficulty:Média,ACTIVE,,
"Ocorreria acento grave em “dada a”, caso o substantivo “olheiras” fosse substituído por:",fazer compras.,verdade absoluta.,silêncio imposto.,oportunidades generosas.,,B,enfermeiro,ibfc,concurso-publico-sesacre-edital-01-2022,portugues,crase,2022,"A substituição proposta altera o contexto de crase; apenas a alternativa B manteria condição para acento grave em 'dada a', resposta B.",,,4,6,,crase; acento grave; regencia nominal; olheiras; difficulty:Média,ACTIVE,,
"Na oração “No dia seguinte lá estava eu à porta de sua casa” (8º§), os termos não seguem a ordem sintática comum da Língua, chamada de ordem direta. Em função dessa posição inversa, todos os termos abaixo receberam ênfase, exceto:",O sujeito de primeira pessoa.,A locução adverbial de tempo.,A ação expressa pelo verbo.,O advérbio que indica lugar.,,A,enfermeiro,ibfc,concurso-publico-sesacre-edital-01-2022,portugues,sintaxe,2022,"Os termos 'lá' e 'eu' aparecem em posição tópica, deslocando a ordem direta sujeito-verbo-objeto, alternativa A.",,,4,7,,ordem sintatica; topico; comentario; lingua portuguesa; difficulty:Fácil,ACTIVE,,
"Caso a frase ‘Atrás escrevia com letra bordadíssima palavras como “data natalícia” e “saudade”.’ (2º§) fosse reescrita com acréscimo de vírgulas, teríamos uma reescritura adequada à norma padrão apenas em:","Atrás escrevia com letra, bordadíssima, palavras como “data natalícia” e “saudade”.","Atrás escrevia com letra bordadíssima, palavras como “data natalícia” e “saudade”.","Atrás escrevia com letra bordadíssima, palavras como, “data natalícia” e “saudade”.","Atrás escrevia, com letra bordadíssima, palavras como “data natalícia” e “saudade”.",,D,enfermeiro,ibfc,concurso-publico-sesacre-edital-01-2022,portugues,voz-verbal,2022,"A reescrita na voz passiva analítica com agente da passiva corresponde à alternativa D, preservando o sentido original.",,,4,8,,voz passiva; transformacao de voz; oracao passiva; letra bordadissima; difficulty:Média,ACTIVE,,
A leitura atenta permite ao leitor concluir que o texto narra:,experiências de uma criança apresentadas no momento em que ocorrem.,vivências de várias crianças por meio de uma voz infantil coletiva.,lembranças da infância de um narrador que se encontra na fase adulta.,reflexões que se restringem ao passado de um narrador infantil.,,C,enfermeiro,ibfc,concurso-publico-sesacre-edital-01-2022,portugues,interpretacao-de-texto,2022,A leitura global do conto permite inferir o desfecho narrativo indicado na alternativa C.,,,4,9,,narrativa; conto; leitura atenta; compreensao textual; difficulty:Média,ACTIVE,,
"Na oração “Boquiaberta, saí devagar” (7º§), tem-se:",um sujeito indeterminado.,um verbo transitivo direto.,um predicado verbo-nominal.,uma locução verbal. HISTÓRIA E GEOGRAFIA DO ACRE,,C,enfermeiro,ibfc,concurso-publico-sesacre-edital-01-2022,portugues,sintaxe,2022,"Em 'Boquiaberta, saí devagar', o termo inicial funciona como adjunto adverbial de modo deslocado, alternativa C.",,,4,10,,oracao reduzida; adjunto adverbial; sintaxe; boquiaberta; difficulty:Média,ACTIVE,,
