statement,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e,correct_answer,position,board,contest,subject,topic,year,explanation,organization,exam,page,question,references,keywords,status,package,package_version,origin
"Na ventilacao mecanica invasiva de pacientes com sindrome do desconforto respiratorio agudo, a estrategia ventilatoria protetora recomenda a utilizacao de volume corrente calculado com base no peso predito do paciente, na faixa de",15 a 18 mL/kg.,6 a 8 mL/kg.,1 a 3 mL/kg.,20 a 25 mL/kg.,"10 a 12 mL/kg, sem relacao com o peso predito.",B,enfermeiro,ibfc,,terapia-intensiva-uti,suporte-ventilatorio,,"A ventilacao protetora usa 6-8 mL/kg de peso predito, reduzindo lesao pulmonar induzida pelo ventilador; as demais faixas sao incompativeis com a evidencia atual.",,,,,RDC ANVISA no 7/2010.,,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
"A Pressao Expiratoria Final Positiva (PEEP), parametro ajustavel na ventilacao mecanica invasiva, tem como principal finalidade",aumentar a frequencia respiratoria mandatoria independentemente da mecanica pulmonar.,"manter os alveolos abertos ao final da expiracao, prevenindo o colapso alveolar e melhorando a oxigenacao.",substituir a necessidade de FiO2 suplementar em qualquer situacao clinica.,"reduzir exclusivamente o trabalho cardiaco, sem relacao com a mecanica pulmonar.",eliminar a necessidade de monitorizacao da complacencia pulmonar.,B,enfermeiro,fgv,,terapia-intensiva-uti,suporte-ventilatorio,,"PEEP mantem recrutamento alveolar ao final da expiracao, prevenindo atelectasia; as demais alternativas distorcem sua funcao real.",,,,,RDC ANVISA no 7/2010.,,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
"Na monitorizacao da mecanica ventilatoria de um paciente em ventilacao mecanica invasiva, um aumento isolado da pressao de pico, com pressao de plato inalterada, sugere primariamente",reducao da complacencia pulmonar (pulmao mais rigido).,"aumento da resistencia de vias aereas (ex.: obstrucao por secrecao, broncoespasmo).",extubacao acidental do paciente.,desconexao total do circuito ventilatorio.,"falencia exclusiva da bomba cardiaca, sem relacao com a mecanica respiratoria.",B,enfermeiro,ibfc,,terapia-intensiva-uti,suporte-ventilatorio,,"Pressao de pico elevada com plato normal indica problema de resistencia de via aerea (fluxo), nao de complacencia.",,,,,RDC ANVISA no 7/2010.,,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
"Como medida de cuidado de enfermagem ao paciente em ventilacao mecanica invasiva, a cabeceira do leito deve ser mantida elevada, salvo contraindicacao, em angulo de",0 a 10 graus.,30 a 45 graus.,"90 graus, em posicao sentada permanente.","60 a 90 graus, exclusivamente.","decubito lateral exclusivo, sem elevacao de cabeceira.",B,enfermeiro,fgv,,terapia-intensiva-uti,suporte-ventilatorio,,A elevacao de 30-45 graus reduz o risco de aspiracao e de pneumonia associada a ventilacao mecanica (PAV).,,,,,RDC ANVISA no 7/2010.,,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
"Em pacientes sob ventilacao mecanica invasiva, a umidificacao e o aquecimento dos gases inspirados sao necessarios porque","a via aerea artificial contorna os mecanismos naturais de umidificacao e aquecimento das vias aereas superiores, exigindo substituicao artificial dessa funcao.","reduzem exclusivamente o custo do circuito ventilatorio, sem funcao clinica.",substituem integralmente a necessidade de aspiracao de secrecoes.,"eliminam o risco de pneumonia associada a ventilacao, isoladamente.",nao tem nenhuma relacao com a prevencao de obstrucao do tubo por secrecoes espessadas.,A,enfermeiro,ibfc,,terapia-intensiva-uti,suporte-ventilatorio,,"O tubo orotraqueal contorna a via aerea superior, exigindo dispositivo artificial para evitar ressecamento de secrecoes e lesao de mucosa.",,,,,RDC ANVISA no 7/2010.,,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
"Diante do disparo do alarme de pressao alta no ventilador mecanico de um paciente em VMI, a primeira conduta de enfermagem deve ser",desligar o alarme sonoro e aguardar 30 minutos antes de qualquer avaliacao.,"avaliar imediatamente o paciente e o circuito, verificando causas comuns como acumulo de secrecoes, tosse, mordedura do tubo ou assincronia paciente-ventilador.","aumentar isoladamente o volume corrente programado, sem avaliacao previa do paciente.","trocar o ventilador mecanico por outro equipamento, independentemente da causa do alarme.","reduzir a PEEP a zero, como conduta padrao diante de qualquer alarme de pressao.",B,enfermeiro,fgv,,terapia-intensiva-uti,suporte-ventilatorio,,Alarmes exigem avaliacao clinica imediata do binomio paciente-circuito antes de qualquer ajuste.,,,,,RDC ANVISA no 7/2010.,,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
"O escore APACHE II, amplamente utilizado em Unidades de Terapia Intensiva, tem como principal finalidade",medir exclusivamente a carga de trabalho da equipe de enfermagem.,"estimar a gravidade clinica e o risco de mortalidade do paciente critico, com base em variaveis fisiologicas coletadas nas primeiras 24 horas de internacao.",substituir a necessidade de avaliacao neurologica pela Escala de Coma de Glasgow.,"calcular exclusivamente o tempo estimado de permanencia hospitalar, sem relacao com mortalidade.",avaliar unicamente a funcao renal do paciente critico.,B,enfermeiro,ibfc,,terapia-intensiva-uti,monitorizacao-do-paciente-critico,,O APACHE II estima gravidade/mortalidade a partir de variaveis fisiologicas das primeiras 24h - nao mede carga de trabalho (isso e o NAS).,,,,,Literatura consolidada de terapia intensiva.,,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
"O escore SAPS 3 (Simplified Acute Physiology Score 3), utilizado para avaliacao prognostica de pacientes criticos, caracteriza-se por","ser calculado exclusivamente apos a alta da UTI, nunca na admissao.","incluir, entre suas variaveis, dados coletados antes da internacao na UTI (comorbidades e caracteristicas previas do paciente), alem de variaveis fisiologicas da admissao.",nao considerar nenhuma variavel relacionada a comorbidades previas do paciente.,ser aplicavel exclusivamente a pacientes pediatricos.,"medir exclusivamente a carga de trabalho de enfermagem, substituindo o NAS.",B,enfermeiro,fgv,,terapia-intensiva-uti,monitorizacao-do-paciente-critico,,"O SAPS 3 incorpora variaveis pre-admissao (comorbidades, procedencia) alem das fisiologicas da admissao.",,,,,Literatura consolidada de terapia intensiva.,,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
"Diferentemente dos escores de gravidade (como APACHE II e SAPS 3), o Nursing Activities Score (NAS) tem como objetivo",estimar exclusivamente o risco de mortalidade do paciente critico.,"mensurar a carga de trabalho de enfermagem demandada pelo cuidado ao paciente critico, para fins de dimensionamento de pessoal.",substituir integralmente os escores de gravidade na tomada de decisao terapeutica.,medir exclusivamente parametros hemodinamicos do paciente.,"ser sinonimo funcional do APACHE II, sem qualquer diferenca metodologica.",B,enfermeiro,ibfc,,terapia-intensiva-uti,monitorizacao-do-paciente-critico,,"O NAS mede carga de trabalho de enfermagem, enquanto APACHE/SAPS medem gravidade/mortalidade - instrumentos com propositos distintos.",,,,,Literatura consolidada de terapia intensiva.,,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
"Avalie as afirmativas sobre o bundle de prevencao de pneumonia associada a ventilacao mecanica (PAV). I. Manutencao da cabeceira elevada a 30-45 graus. II. Higiene oral com solucao de clorexidina. III. Interrupcao diaria da sedacao, com avaliacao da possibilidade de extubacao. IV. Manutencao de sedacao profunda continua, sem interrupcao, como medida preventiva de PAV. Esta correto o que se afirma em","I, II e III, apenas.","I e II, apenas.","II, III e IV.","I, II, III e IV.","IV, apenas.",A,enfermeiro,fgv,,terapia-intensiva-uti,cuidados-especificos-do-paciente-critico,,I-III sao componentes reais do bundle; IV contraria diretamente a diretriz (sedacao profunda continua aumenta o tempo de VM e o risco de PAV).,,,,,RDC ANVISA no 7/2010.,,ACTIVE,banco-de-questoes-enfermagem,1.0,inedito
