statement,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e,correct_answer,position,board,contest,subject,topic,year,explanation,organization,exam,page,question,references,keywords,status,package,package_version,origin
"De acordo com a Resolucao COFEN no 736/2024, o Processo de Enfermagem deve ser realizado, de forma deliberada e sistematica, em:","apenas hospitais e unidades de urgencia e emergencia.","todo contexto socioambiental em que ocorre o cuidado de enfermagem.","exclusivamente unidades de terapia intensiva.","apenas instituicoes privadas de saude.","somente unidades com internacao.","B","enfermeiro","ibfc","","sistematizacao-da-assistencia-de-enfermagem-sae","base-normativa-e-conceitual","","A Resolucao COFEN no 736/2024 ampliou o escopo em relacao a norma revogada, exigindo a realizacao do Processo de Enfermagem em todo contexto socioambiental de cuidado, nao apenas em ambiente hospitalar ou institucional.","","","","","COFEN, Resolucao no 736/2024.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Em relacao a terminologia normativa vigente da Enfermagem brasileira, e correto afirmar que a Resolucao COFEN no 736/2024:","manteve a sigla SAE como termo oficial do conjunto organizacional do cuidado.","nao utiliza mais o termo 'Sistematizacao da Assistencia de Enfermagem (SAE)', tratando o Processo de Enfermagem como objeto central da norma.","ampliou o uso da sigla SAE para todas as categorias da equipe de enfermagem.","revogou o Processo de Enfermagem como metodo de trabalho do Enfermeiro.","tornou SAE e Processo de Enfermagem sinonimos legais criados pela propria resolucao de 2024.","B","enfermeiro","fgv","","sistematizacao-da-assistencia-de-enfermagem-sae","base-normativa-e-conceitual","","A norma vigente elimina o termo 'SAE' como nomenclatura normativa, tratando o Processo de Enfermagem como objeto central e unico da regulamentacao; 'SAE' permanece apenas como nome historico/de catalogo.","","","","","COFEN, Resolucao no 736/2024.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"A escolha de um referencial teorico de enfermagem (por exemplo, a Teoria das Necessidades Humanas Basicas) para orientar o raciocinio dentro do Processo de Enfermagem e:","obrigatoria e unica, definida pela Resolucao COFEN no 736/2024.","uma decisao tecnico-profissional/institucional, nao imposta por uma taxonomia obrigatoria na norma vigente.","vedada pela norma vigente, que exige raciocinio exclusivamente empirico.","definida pelo Ministerio da Saude, nao pelo COFEN.","aplicavel apenas as etapas de Diagnostico e Planejamento, nao as demais.","B","enfermeiro","cebraspe","","sistematizacao-da-assistencia-de-enfermagem-sae","base-normativa-e-conceitual","","Nem a norma revogada nem a vigente impoem um referencial teorico unico; a escolha da teoria de enfermagem permanece tecnico-profissional/institucional, desde que cientificamente fundamentada.","","","","","COFEN, Resolucao no 736/2024.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"A sistematizacao do raciocinio de enfermagem como corpo teorico-metodologico no Brasil e historicamente associada a obra de:","Florence Nightingale","Wanda de Aguiar Horta","Dorothea Orem","Virginia Henderson","Hildegard Peplau","B","enfermeiro","instituto-aocp","","sistematizacao-da-assistencia-de-enfermagem-sae","base-normativa-e-conceitual","","Wanda de Aguiar Horta, com a obra 'Processo de Enfermagem' (1979) e a Teoria das Necessidades Humanas Basicas, e a referencia historico-teorica brasileira central da disciplina.","","","","","HORTA, W. A. Processo de Enfermagem. Sao Paulo: EPU, 1979.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"A trajetoria normativa da Sistematizacao da Assistencia de Enfermagem/Processo de Enfermagem no Brasil e corretamente descrita, da norma mais antiga a vigente, pela sequencia:","Resolucao COFEN no 358/2009 -> Resolucao COFEN no 272/2002 -> Resolucao COFEN no 736/2024.","Resolucao COFEN no 272/2002 -> Resolucao COFEN no 358/2009 -> Resolucao COFEN no 736/2024.","Resolucao COFEN no 736/2024 -> Resolucao COFEN no 358/2009 -> Resolucao COFEN no 272/2002.","Resolucao COFEN no 272/2002 -> Resolucao COFEN no 736/2024 -> Resolucao COFEN no 358/2009.","Apenas a Resolucao COFEN no 736/2024 existiu, sem normas anteriores.","B","enfermeiro","fundacao-vunesp","","sistematizacao-da-assistencia-de-enfermagem-sae","base-normativa-e-conceitual","","A trajetoria confirmada e: 272/2002 (1a instituicao, revogada) -> 358/2009 (ampliacao de escopo, revogada em 23/01/2024) -> 736/2024 (norma vigente).","","","","","COFEN, Resolucoes no 272/2002, 358/2009 e 736/2024.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"O Processo de Enfermagem, conforme descrito pela norma vigente e pela literatura tecnica, caracteriza-se por ser um metodo:","linear e definitivo, sem possibilidade de retorno a etapas anteriores.","ciclico, dinamico e nao linear, no qual etapas posteriores podem retroalimentar etapas anteriores.","aplicavel uma unica vez por internacao do paciente.","executado exclusivamente pelo Tecnico de Enfermagem.","restrito a etapa de Diagnostico, sem relacao com as demais.","B","enfermeiro","ibfc","","sistematizacao-da-assistencia-de-enfermagem-sae","base-normativa-e-conceitual","","A natureza ciclica e nao linear do Processo de Enfermagem e principio mantido da norma revogada para a vigente: uma avaliacao insatisfatoria pode reabrir etapas anteriores.","","","","","COFEN, Resolucao no 736/2024.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Durante a etapa de Evolucao de Enfermagem, o enfermeiro identifica que o resultado esperado nao foi alcancado por um paciente. De acordo com a natureza ciclica do Processo de Enfermagem, a conduta tecnicamente coerente e:","encerrar o processo, ja que a etapa de Evolucao e a ultima e nao permite revisao.","retroalimentar etapas anteriores (como Diagnostico ou Planejamento de Enfermagem), revisando-as conforme necessario.","transferir a responsabilidade exclusivamente ao Tecnico de Enfermagem.","aguardar 30 dias antes de qualquer nova avaliacao, por exigencia normativa.","desconsiderar o resultado, pois a Evolucao nao influencia as demais etapas.","B","enfermeiro","fgv","","sistematizacao-da-assistencia-de-enfermagem-sae","base-normativa-e-conceitual","","A Evolucao de Enfermagem fecha e reabre o ciclo: um resultado insatisfatorio deve retroalimentar etapas anteriores, nunca ser ignorado.","","","","","COFEN, Resolucao no 736/2024.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"De acordo com a Resolucao COFEN no 736/2024, a etapa do Processo de Enfermagem em que sao coletados dados subjetivos e objetivos, por meio de entrevista e exame fisico, e denominada:","Diagnostico de Enfermagem","Avaliacao de Enfermagem","Planejamento de Enfermagem","Implementacao de Enfermagem","Evolucao de Enfermagem","B","enfermeiro","cebraspe","","sistematizacao-da-assistencia-de-enfermagem-sae","processo-de-enfermagem","","A Avaliacao de Enfermagem e, na norma vigente, a 1a etapa, dedicada a coleta de dados subjetivos e objetivos.","","","","","COFEN, Resolucao no 736/2024, art. 4o, inciso I.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Durante a Avaliacao de Enfermagem, um dado relatado pelo proprio paciente, como a queixa de dor, e classificado tecnicamente como dado:","Objetivo","Subjetivo","Laboratorial exclusivo","Normativo","Secundario, sem valor clinico","B","enfermeiro","instituto-aocp","","sistematizacao-da-assistencia-de-enfermagem-sae","processo-de-enfermagem","","Dados subjetivos sao os relatados pelo paciente/familia (queixas, sintomas); dados objetivos sao observados/mensurados pelo profissional.","","","","","COFEN, Resolucao no 736/2024.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Um enfermeiro em preparacao para concurso encontra, em material de estudo desatualizado, a afirmacao de que a primeira etapa do Processo de Enfermagem se chama 'Coleta de Dados de Enfermagem' ou 'Historico de Enfermagem'. Segundo a norma vigente (Resolucao COFEN no 736/2024), essa nomenclatura:","permanece correta e e a unica aceita atualmente.","foi substituida pelo nome oficial vigente 'Avaliacao de Enfermagem', ainda que o conteudo funcional da etapa seja essencialmente o mesmo.","refere-se hoje a quinta etapa do Processo de Enfermagem, nao a primeira.","nunca existiu na historia normativa da disciplina.","e sinonimo atual de 'Evolucao de Enfermagem'.","B","enfermeiro","fundacao-vunesp","","sistematizacao-da-assistencia-de-enfermagem-sae","processo-de-enfermagem","","'Coleta de Dados'/'Historico de Enfermagem' era o nome da 1a etapa na Resolucao 358/2009 (revogada); a norma vigente renomeou essa etapa para 'Avaliacao de Enfermagem', mantendo o conteudo funcional.","","","","","COFEN, Resolucao no 736/2024 (vigente); Resolucao no 358/2009 (revogada).","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
