statement,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e,correct_answer,position,board,contest,subject,topic,year,explanation,organization,exam,page,question,references,keywords,status,package,package_version,origin
"O Distrito Federal esta localizado na regiao:","Nordeste","Centro-Oeste","Sudeste","Sul","Norte","B","enfermeiro","iades","","conhecimentos-gerais-sobre-o-distrito-federal","geografia-cultura-e-economia-do-df","","O Distrito Federal esta localizado na regiao Centro-Oeste do Brasil.","","","","","IBGE, divisao regional do Brasil.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"A economia do Distrito Federal caracteriza-se por forte predominancia do setor:","primario (agropecuaria), sendo o principal responsavel pelo PIB distrital.","terciario (comercio e servicos), impulsionado especialmente pela administracao publica.","secundario (industria pesada).","extrativista mineral.","pesqueiro, dada a proximidade com o litoral.","B","enfermeiro","instituto-aocp","","conhecimentos-gerais-sobre-o-distrito-federal","geografia-cultura-e-economia-do-df","","A economia do DF e fortemente concentrada no setor terciario, com peso relevante da administracao publica, dado o carater de capital federal.","","","","","IBGE/CODEPLAN, perfil economico do Distrito Federal.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"O clima predominante no Distrito Federal e classificado como:","Tropical de altitude, com estacoes seca e chuvosa bem definidas.","Equatorial umido, sem estacao seca.","Semiarido, com baixos indices pluviometricos o ano todo.","Subtropical, com ocorrencia regular de geadas intensas.","Desertico.","A","enfermeiro","cebraspe","","conhecimentos-gerais-sobre-o-distrito-federal","geografia-cultura-e-economia-do-df","","O clima do DF e tropical de altitude, com estacao seca (inverno) e chuvosa (verao) bem definidas.","","","","","IBGE, caracteristicas climaticas do Distrito Federal.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"O bioma predominante no Distrito Federal e o:","Amazonia","Cerrado","Caatinga","Mata Atlantica, exclusivamente","Pantanal","B","enfermeiro","ibfc","","conhecimentos-gerais-sobre-o-distrito-federal","geografia-cultura-e-economia-do-df","","O Distrito Federal esta inserido predominantemente no bioma Cerrado.","","","","","IBGE, biomas brasileiros.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"O Lago Paranoa, importante referencia geografica e paisagistica de Brasilia, e um lago:","natural, formado por processo geologico independente da acao humana.","artificial, formado a partir do represamento do Rio Paranoa, como parte do planejamento urbano da capital.","localizado fora dos limites do Distrito Federal.","utilizado exclusivamente para fins industriais.","formado a partir de uma cratera vulcanica.","B","enfermeiro","iades","","conhecimentos-gerais-sobre-o-distrito-federal","geografia-cultura-e-economia-do-df","","O Lago Paranoa e artificial, formado pelo represamento do Rio Paranoa, integrado ao planejamento urbanistico de Brasilia.","","","","","CODEPLAN/GDF, geografia urbana de Brasilia.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"A Regiao Integrada de Desenvolvimento do Distrito Federal e Entorno (RIDE) foi instituida por:","Emenda Constitucional.","Lei Complementar no 94, de 19 de fevereiro de 1998.","Decreto Presidencial, exclusivamente, sem lei complementar.","Lei Organica do Distrito Federal.","Resolucao do Senado Federal.","B","enfermeiro","instituto-aocp","","conhecimentos-gerais-sobre-o-distrito-federal","ride-do-distrito-federal-e-coaride","","A RIDE foi instituida pela Lei Complementar no 94, de 19 de fevereiro de 1998.","","","","","Lei Complementar no 94/1998.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"A RIDE do Distrito Federal e Entorno reune o Distrito Federal e municipios pertencentes a quais estados, alem do proprio DF?","Sao Paulo e Rio de Janeiro.","Goias e Minas Gerais.","Bahia e Tocantins.","Mato Grosso e Mato Grosso do Sul.","Apenas Goias, sem participacao de outro estado.","B","enfermeiro","cebraspe","","conhecimentos-gerais-sobre-o-distrito-federal","ride-do-distrito-federal-e-coaride","","A RIDE reune o Distrito Federal e municipios dos estados de Goias e Minas Gerais.","","","","","Lei Complementar no 94/1998.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"O Conselho Administrativo da Regiao Integrada de Desenvolvimento do Distrito Federal e Entorno (COARIDE) tem como principal funcao:","legislar sobre materia tributaria federal.","coordenar e articular acoes de interesse comum entre os entes que compoem a RIDE (DF, municipios de Goias e de Minas Gerais).","substituir o governo do Distrito Federal em suas competencias.","julgar processos judiciais envolvendo a RIDE.","administrar exclusivamente o sistema de saude da regiao.","B","enfermeiro","ibfc","","conhecimentos-gerais-sobre-o-distrito-federal","ride-do-distrito-federal-e-coaride","","O COARIDE coordena e articula acoes de interesse comum entre os entes da RIDE, sem substituir competencias proprias de cada ente.","","","","","Decreto regulamentador da RIDE; Lei Complementar no 94/1998.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"A Lei Organica do Distrito Federal, norma fundamental que rege a organizacao politico-administrativa do DF, foi promulgada em:","8 de junho de 1993.","5 de outubro de 1988.","21 de abril de 1960.","15 de novembro de 1889.","1o de janeiro de 2000.","A","enfermeiro","iades","","conhecimentos-gerais-sobre-o-distrito-federal","lei-organica-do-distrito-federal","","A Lei Organica do Distrito Federal foi promulgada em 8 de junho de 1993.","","","","","Lei Organica do Distrito Federal (1993).","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"O Distrito Federal, conforme a Constituicao Federal de 1988, art. 32, caracteriza-se por:","ser dividido em municipios, como qualquer estado da federacao.","nao poder ser dividido em municipios, sendo regido por lei organica propria, que acumula competencias legislativas reservadas a estados e municipios.","ser subordinado administrativamente ao estado de Goias.","nao possuir autonomia politico-administrativa propria.","ser governado exclusivamente por autoridade nomeada pelo Presidente da Republica, em qualquer epoca.","B","enfermeiro","cebraspe","","conhecimentos-gerais-sobre-o-distrito-federal","lei-organica-do-distrito-federal","","Conforme art. 32 da CF/1988, o DF nao pode ser dividido em municipios e e regido por lei organica propria, acumulando competencias legislativas de estados e municipios.","","","","","Constituicao Federal de 1988, art. 32.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
