statement,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e,correct_answer,position,board,contest,subject,topic,year,explanation,organization,exam,page,question,references,keywords,status,package,package_version,origin
"Entre os Equipamentos de Protecao Individual (EPI) utilizados na rotina assistencial, a luva de procedimento (nao esteril) tem como principal indicacao:","substituir a higienizacao das maos em qualquer situacao.","proteger o profissional do contato com sangue, fluidos corporais, secrecoes e excrecoes, sendo trocada a cada paciente/procedimento.","ser reutilizada indefinidamente apos lavagem com agua e sabao.","ser usada apenas em procedimentos cirurgicos.","dispensar o uso de outros EPIs, como oculos de protecao.","B","enfermeiro","ibfc","","biosseguranca","equipamentos-de-protecao-individual","","A luva de procedimento protege o profissional do contato com material biologico e deve ser trocada a cada paciente/procedimento, nunca reutilizada nem substitui a higienizacao das maos.","","","","","NR-32; ANVISA, precaucoes padrao.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"A ordem tecnicamente recomendada para a retirada (desparamentacao) segura dos Equipamentos de Protecao Individual, ao final do atendimento a um paciente em precaucao, busca minimizar o risco de autocontaminacao, retirando primeiro os itens:","considerados mais contaminados, geralmente as luvas, seguidas de outros itens ate a mascara/respirador, retirado por ultimo.","na mesma ordem em que foram colocados, sem qualquer alteracao.","todos simultaneamente, para agilizar o processo.","comecando pela mascara/respirador, antes de qualquer outro item.","nao ha ordem recomendada, ficando a criterio do profissional.","A","enfermeiro","fgv","","biosseguranca","equipamentos-de-protecao-individual","","A desparamentacao segue ordem que minimiza autocontaminacao: itens mais contaminados (luvas) sao retirados primeiro, e a mascara/respirador, por ultimo.","","","","","ANVISA/CDC, sequencia de paramentacao e desparamentacao de EPI.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"O oculos de protecao (ou protetor facial), Equipamento de Protecao Individual indicado em procedimentos com risco de respingo de sangue ou fluidos corporais, tem como finalidade proteger:","exclusivamente as vias respiratorias.","as mucosas oculares do profissional contra respingos.","exclusivamente a pele das maos.","o paciente, nao o profissional.","apenas contra radiacao ionizante.","B","enfermeiro","centro-de-selecao-da-universidade-federal-de-goias","","biosseguranca","equipamentos-de-protecao-individual","","O oculos de protecao/protetor facial protege as mucosas oculares do profissional contra respingos de sangue/fluidos corporais.","","","","","NR-32.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Um profissional de enfermagem, ao realizar aspiracao de vias aereas em paciente com secrecao respiratoria abundante, deve selecionar, alem da luva de procedimento, quais EPIs adicionais para protecao contra respingo/aerossolizacao de secrecoes?","nenhum EPI adicional e necessario alem da luva.","oculos de protecao (ou protetor facial) e mascara, dado o risco de respingo e aerossolizacao durante o procedimento.","apenas avental, sem qualquer protecao facial.","apenas gorro, sem qualquer outro EPI.","luvas de procedimento duplas, sem qualquer protecao facial ou respiratoria.","B","enfermeiro","cebraspe","","biosseguranca","equipamentos-de-protecao-individual","","A aspiracao de vias aereas com secrecao abundante exige protecao facial (oculos/protetor facial) e mascara, dado o risco de respingo/aerossolizacao.","","","","","NR-32; ANVISA, precaucoes padrao.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Em relacao ao descarte de Equipamentos de Protecao Individual (EPI) descartaveis (ex.: luvas, mascaras) utilizados no atendimento a pacientes, a conduta correta e:","descarta-los em lixo comum, independentemente do contexto de uso.","descarta-los conforme a classificacao de residuos de servicos de saude aplicavel (ex.: residuo infectante, quando contaminado com material biologico), conforme o Plano de Gerenciamento de Residuos de Servicos de Saude da instituicao.","reutiliza-los apos lavagem, mesmo sendo descartaveis.","devolve-los ao fabricante para reprocessamento.","queima-los no proprio local de atendimento, sem qualquer protocolo.","B","enfermeiro","fundacao-vunesp","","biosseguranca","equipamentos-de-protecao-individual","","O descarte de EPI descartavel contaminado segue a classificacao de RSS aplicavel, conforme o PGRSS institucional.","","","","","RDC ANVISA no 222/2018.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"A distincao entre Equipamento de Protecao Individual (EPI) e Equipamento de Protecao Coletiva (EPC) e que o EPC:","e de uso exclusivamente individual, como o EPI.","protege um grupo de pessoas/o ambiente de trabalho como um todo (ex.: cabine de seguranca biologica, sistema de exaustao), nao apenas o profissional que o utiliza diretamente.","e sinonimo de EPI, sem qualquer diferenca conceitual.","e obrigatorio apenas em ambientes hospitalares privados.","substitui integralmente a necessidade de EPI em qualquer situacao.","B","enfermeiro","ibfc","","biosseguranca","equipamentos-de-protecao-individual","","O EPC protege coletivamente o ambiente/grupo de trabalho, diferente do EPI, de uso individual.","","","","","NR-32.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Os residuos do Grupo D, na classificacao de Residuos de Servicos de Saude (RSS), correspondem a:","residuos com risco biologico, como sangue e hemoderivados.","residuos comuns, semelhantes aos residuos domiciliares, sem risco biologico, quimico ou radioativo adicional (ex.: papel, sobras de alimentos nao contaminadas).","residuos radioativos.","residuos perfurocortantes, exclusivamente.","residuos quimicos perigosos.","B","enfermeiro","fgv","","biosseguranca","gerenciamento-de-residuos-de-servicos-de-saude","","O Grupo D corresponde a residuos comuns, semelhantes aos domiciliares, sem risco adicional.","","","","","RDC ANVISA no 222/2018.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Os residuos perfurocortantes (ex.: agulhas, laminas, ampolas de vidro quebradas) sao classificados, na classificacao de RSS, como Grupo:","A.","B.","D.","E.","Nao sao classificados em nenhum grupo especifico.","D","enfermeiro","ibfc","","biosseguranca","gerenciamento-de-residuos-de-servicos-de-saude","","Os residuos perfurocortantes constituem o Grupo E na classificacao de RSS.","","","","","RDC ANVISA no 222/2018.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Durante o descarte de uma agulha apos administracao de medicamento, o profissional de enfermagem deve utilizar recipiente:","de material flexivel, sem qualquer caracteristica especifica de resistencia.","rigido, resistente a perfuracao, identificado, proprio para perfurocortantes, sem reencapar a agulha antes do descarte.","de vidro comum, sem qualquer resistencia especial exigida.","compartilhado com residuos comuns do Grupo D.","reutilizavel apos esvaziamento manual pelo proprio profissional.","B","enfermeiro","centro-de-selecao-da-universidade-federal-de-goias","","biosseguranca","gerenciamento-de-residuos-de-servicos-de-saude","","O descarte de perfurocortantes exige recipiente rigido, resistente a perfuracao, identificado, sem reencape previo da agulha.","","","","","RDC ANVISA no 222/2018; NR-32.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Apos um acidente com material perfurocortante contaminado, a primeira conduta local recomendada, em relacao ao ferimento, e:","espremer o local para 'forcar a saida' do sangue, seguida de aplicacao de substancias causticas.","lavar imediatamente o local com agua e sabao (nos casos de exposicao cutanea) ou solucao salina (mucosas), sem uso de substancias irritantes ou causticas.","aplicar alcool 70% diretamente sobre o ferimento aberto.","cobrir o ferimento sem qualquer lavagem previa.","aguardar avaliacao medica antes de qualquer cuidado local.","B","enfermeiro","cebraspe","","biosseguranca","exposicao-ocupacional-e-acidentes-com-material-biologico","","A lavagem imediata com agua e sabao (pele) ou solucao salina (mucosas) e a primeira conduta recomendada, sem uso de substancias causticas/irritantes.","","","","","Ministerio da Saude, protocolo de exposicao a material biologico.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
