statement,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e,correct_answer,position,board,contest,subject,topic,year,explanation,organization,exam,page,question,references,keywords,status,package,package_version,origin
"Conforme a Portaria MS/GM no 2.616/1998, que regulamenta o Programa de Controle de Infeccao Hospitalar, a Comissao de Controle de Infeccao Hospitalar (CCIH) deve ser constituida por:","exclusivamente medicos, sem participacao de outras categorias profissionais.","membros consultores e membros executores, com representacao multiprofissional (incluindo Enfermeiro), sendo o Servico de Controle de Infeccao Hospitalar (SCIH) responsavel pela execucao das acoes.","apenas representantes da direcao administrativa do hospital.","exclusivamente Tecnicos de Enfermagem, por serem a categoria de maior contato direto com o paciente.","um unico profissional, sem necessidade de comissao formal.","B","enfermeiro","fgv","","controle-de-infeccao-hospitalar","ccih-e-prevencao-de-infeccao-hospitalar","","A Portaria 2.616/1998 preve CCIH com membros consultores e executores, representacao multiprofissional, e o SCIH como estrutura operacional executora.","","","","","Ministerio da Saude, Portaria MS/GM no 2.616/1998.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Em relacao a estrutura organizacional do controle de infeccao hospitalar, a diferenca central entre a Comissao de Controle de Infeccao Hospitalar (CCIH) e o Servico de Controle de Infeccao Hospitalar (SCIH) e que:","sao exatamente a mesma estrutura, apenas com nomes diferentes.","a CCIH tem carater deliberativo/consultivo (membros consultores e executores), enquanto o SCIH e a estrutura operacional que executa as acoes de vigilancia e controle no dia a dia.","o SCIH substitui integralmente a CCIH desde 1998.","a CCIH atua apenas em situacoes de surto, e o SCIH nas demais situacoes.","o SCIH e exclusivo de hospitais privados, e a CCIH de hospitais publicos.","B","enfermeiro","ibfc","","controle-de-infeccao-hospitalar","ccih-e-prevencao-de-infeccao-hospitalar","","A CCIH tem carater deliberativo/consultivo; o SCIH e a estrutura operacional que executa a vigilancia no cotidiano.","","","","","Ministerio da Saude, Portaria MS/GM no 2.616/1998.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Um dos principais indicadores epidemiologicos utilizados na vigilancia de Infeccoes Relacionadas a Assistencia a Saude (IRAS) e a densidade de incidencia, calculada, tipicamente, como:","o numero absoluto de infeccoes ocorridas no mes, sem relacao com o tempo de exposicao.","o numero de infeccoes relacionadas a um dispositivo (ex.: cateter venoso central) dividido pelo numero de pacientes-dia (ou dispositivo-dia) de exposicao, multiplicado por um fator constante.","apenas o numero de obitos atribuidos a infeccao.","o numero de leitos ocupados no periodo, sem relacao com infeccao.","a proporcao de profissionais vacinados na unidade.","B","enfermeiro","cebraspe","","controle-de-infeccao-hospitalar","ccih-e-prevencao-de-infeccao-hospitalar","","A densidade de incidencia relaciona o numero de infeccoes ao tempo de exposicao ao dispositivo/procedimento, permitindo comparacao entre unidades com diferentes volumes de pacientes.","","","","","ANVISA, indicadores epidemiologicos de IRAS.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"No Brasil, a notificacao de indicadores de Infeccao Relacionada a Assistencia a Saude (IRAS) as autoridades sanitarias, incluindo a ANVISA, e:","facultativa, a criterio exclusivo de cada instituicao.","uma exigencia da vigilancia epidemiologica nacional, com envio periodico de dados pelos servicos de saude conforme normativas vigentes.","realizada apenas quando ocorre obito do paciente.","de responsabilidade exclusiva do Ministerio Publico.","dispensada em hospitais privados.","B","enfermeiro","fundacao-vunesp","","controle-de-infeccao-hospitalar","ccih-e-prevencao-de-infeccao-hospitalar","","A notificacao de indicadores de IRAS e exigencia da vigilancia epidemiologica nacional, obrigatoria para os servicos de saude conforme normativas vigentes.","","","","","ANVISA, sistema de vigilancia de IRAS.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Entre as medidas reconhecidas para prevencao de Infeccao de Corrente Sanguinea associada a Cateter Venoso Central (ICS-CVC), destaca-se:","a manutencao do cateter pelo maior tempo possivel, independentemente da indicacao clinica.","a insercao com tecnica assepitca maxima (paramentacao completa, antissepsia da pele com clorexidina alcoolica) e a avaliacao diaria da necessidade de manutencao do cateter, retirando-o assim que nao for mais indicado.","a troca do cateter a cada 24 horas, independentemente de sinais de complicacao.","a dispensa de antissepsia da pele quando o procedimento e considerado de urgencia.","o uso de curativo oclusivo trocado apenas uma vez por mes.","B","enfermeiro","instituto-aocp","","controle-de-infeccao-hospitalar","ccih-e-prevencao-de-infeccao-hospitalar","","Tecnica asseptica maxima na insercao e avaliacao diaria da necessidade de manutencao (retirada precoce) sao medidas centrais de prevencao de ICS-CVC.","","","","","ANVISA, Medidas de Prevencao de Infeccao Relacionada a Assistencia a Saude - ICS.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Entre as medidas de prevencao de Infeccao do Trato Urinario Associada a Cateter (ITU-AC), destaca-se:","a manutencao do sistema de drenagem urinaria fechado e esteril, evitando desconexoes desnecessarias entre o cateter e o coletor.","a troca rotineira do cateter vesical a cada 48 horas, independentemente de indicacao clinica.","a irrigacao vesical de rotina com solucao antisseptica, como medida preventiva padrao.","a manutencao do coletor de urina acima do nivel da bexiga do paciente.","a dispensa de indicacao clinica para manutencao do cateter, desde que o paciente nao reclame de desconforto.","A","enfermeiro","idecan","","controle-de-infeccao-hospitalar","ccih-e-prevencao-de-infeccao-hospitalar","","A manutencao do sistema fechado, evitando desconexoes, e medida central de prevencao de ITU-AC; troca rotineira sem indicacao, irrigacao de rotina e coletor acima do nivel vesical sao condutas inadequadas.","","","","","ANVISA, Medidas de Prevencao de Infeccao Relacionada a Assistencia a Saude - ITU.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Entre as medidas do bundle de prevencao de Pneumonia Associada a Ventilacao Mecanica (PAV), recomendadas pela ANVISA, destaca-se:","manter a cabeceira do leito elevada entre 30 e 45 graus, salvo contraindicacao clinica.","manter a cabeceira do leito completamente plana, para facilitar a ventilacao.","realizar aspiracao traqueal apenas uma vez por turno, independentemente da necessidade clinica.","suspender a higiene oral durante a ventilacao mecanica, para nao estimular o reflexo de tosse.","manter sedacao profunda continua como medida obrigatoria de prevencao de PAV.","A","enfermeiro","instituto-consulplan","","controle-de-infeccao-hospitalar","ccih-e-prevencao-de-infeccao-hospitalar","","A elevacao da cabeceira entre 30-45 graus e medida classica do bundle de prevencao de PAV, reduzindo risco de aspiracao.","","","","","ANVISA, Medidas de Prevencao de Infeccao Relacionada a Assistencia a Saude - PAV.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"A Infeccao de Sitio Cirurgico (ISC), uma das principais Infeccoes Relacionadas a Assistencia a Saude monitoradas pela CCIH, e classificada, quanto a profundidade do acometimento, em:","apenas superficial, sem outras subdivisoes reconhecidas.","incisional superficial, incisional profunda e de orgao/espaco.","apenas de orgao/espaco, independentemente da profundidade real.","leve, moderada e grave, exclusivamente conforme sintoma febril.","aguda e cronica, exclusivamente.","B","enfermeiro","fgv","","controle-de-infeccao-hospitalar","ccih-e-prevencao-de-infeccao-hospitalar","","A classificacao padrao de ISC e: incisional superficial, incisional profunda e de orgao/espaco.","","","","","ANVISA, Medidas de Prevencao de Infeccao Relacionada a Assistencia a Saude - ISC.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Entre os principais microrganismos multirresistentes de relevancia epidemiologica hospitalar, monitorados pela CCIH, estao as enterobacterias produtoras de carbapenemase (como a Klebsiella pneumoniae produtora de KPC) e o Acinetobacter baumannii multirresistente, cuja disseminacao esta associada, entre outros fatores, a:","uso inadequado/excessivo de antimicrobianos e falhas nas medidas de precaucao de contato e higienizacao das maos.","exposicao solar prolongada dos pacientes internados.","uso exclusivo de antisseticos naturais sem base cientifica.","ausencia de qualquer relacao com praticas assistenciais, sendo fenomeno estritamente ambiental externo ao hospital.","vacinacao de rotina da equipe de enfermagem.","A","enfermeiro","ibfc","","controle-de-infeccao-hospitalar","ccih-e-prevencao-de-infeccao-hospitalar","","O uso inadequado de antimicrobianos e falhas em precaucao de contato/higienizacao das maos sao fatores centrais na disseminacao de multirresistencia hospitalar.","","","","","ANVISA, bacterias multirresistentes em servicos de saude.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Um paciente internado e identificado, por meio de cultura de vigilancia, como colonizado por Enterococcus resistente a vancomicina (VRE). A conduta de enfermagem, alem de comunicar a CCIH, inclui:","instituir precaucao de contato, com uso de avental e luvas para todo contato com o paciente ou seu ambiente proximo, mantendo, quando possivel, quarto privativo ou coorte de pacientes colonizados pelo mesmo microrganismo.","dispensar qualquer precaucao adicional, ja que colonizacao nao e o mesmo que infeccao ativa.","instituir apenas precaucao para aerossois, sem necessidade de precaucao de contato.","transferir o paciente imediatamente para outra instituicao.","suspender toda visita e todo procedimento assistencial ate resultado de nova cultura.","A","enfermeiro","cebraspe","","controle-de-infeccao-hospitalar","ccih-e-prevencao-de-infeccao-hospitalar","","Colonizacao por VRE exige precaucao de contato (nao apenas infeccao ativa), com avental/luvas e, quando possivel, quarto privativo ou coorte.","","","","","ANVISA, bacterias multirresistentes em servicos de saude.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
