statement,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e,correct_answer,position,board,contest,subject,topic,year,explanation,organization,exam,page,question,references,keywords,status,package,package_version,origin
"Durante a ausculta cardiaca, o enfermeiro posiciona o estetoscopio no foco correspondente a valva que se fecha ao final da sistole ventricular, impedindo o retorno de sangue do ventriculo esquerdo para o atrio esquerdo. Essa valva e a:","Tricuspide","Pulmonar","Mitral","Aortica","Sigmoide pulmonar","C","enfermeiro","ibfc","","anatomia-fisiologia","anatomia-do-coracao-e-grandes-vasos","","A valva mitral (bicuspide), entre atrio e ventriculo esquerdos, fecha-se ao inicio da sistole ventricular para impedir refluxo para o atrio. Tricuspide e a valva atrioventricular direita; pulmonar e aortica sao valvas semilunares que regulam a saida dos ventriculos, nao o refluxo atrioventricular esquerdo.","","","","","Tortora, Principios de Anatomia e Fisiologia.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Um enfermeiro observa, em um esquema anatomico, que a arteria pulmonar transporta sangue venoso (pouco oxigenado), ao contrario da regra geral de que arterias carregam sangue arterial. A explicacao fisiologica correta para essa excecao e que a arteria pulmonar:","nasce do atrio direito e conduz sangue diretamente para a aorta.","conduz sangue do ventriculo direito ate os pulmoes, onde ocorrera a oxigenacao.","conduz sangue ja oxigenado do atrio esquerdo para os pulmoes.","e, na verdade, uma veia mal nomeada por convencao historica, sem base funcional.","transporta sangue arterial sistemico para os pulmoes para nutricao do tecido pulmonar.","B","enfermeiro","fgv","","anatomia-fisiologia","anatomia-do-coracao-e-grandes-vasos","","'Arteria' designa o vaso que sai do coracao (independentemente do conteudo de oxigenio), nao necessariamente sangue oxigenado. A arteria pulmonar sai do ventriculo direito levando sangue pobre em O2 ate os pulmoes para hematose.","","","","","Guyton & Hall, Tratado de Fisiologia Medica.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"O impulso eletrico que da origem a cada batimento cardiaco normal origina-se espontaneamente em uma estrutura localizada na parede do atrio direito, proxima a desembocadura da veia cava superior, conhecida como marca-passo natural do coracao. Essa estrutura e o:","No atrioventricular","No sinoatrial","Feixe de His","Fibras de Purkinje","Septo interatrial","B","enfermeiro","cebraspe","","anatomia-fisiologia","ciclo-cardiaco-e-sistema-de-conducao","","O no sinoatrial (SA), localizado no atrio direito, gera o impulso eletrico espontaneo que inicia cada ciclo cardiaco, sendo por isso chamado marca-passo natural. O no AV apenas retransmite o estimulo aos ventriculos, com retardo fisiologico.","","","","","Guyton & Hall.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Ao interpretar a sequencia de conducao eletrica cardiaca, um enfermeiro identifica corretamente que, apos o estimulo originado no no sinoatrial, ocorre um breve retardo fisiologico antes de o impulso alcancar os ventriculos. A estrutura responsavel por esse retardo, que permite o esvaziamento atrial completo antes da contracao ventricular, e o:","No sinoatrial","No atrioventricular","Feixe de His","Ramo direito do feixe de His","Fibras de Purkinje","B","enfermeiro","fundacao-vunesp","","anatomia-fisiologia","ciclo-cardiaco-e-sistema-de-conducao","","O no atrioventricular (AV) retarda a conducao do impulso entre atrios e ventriculos, garantindo que a contracao atrial se complete antes da contracao ventricular, otimizando o enchimento ventricular.","","","","","Guyton & Hall; Tortora.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"No ciclo cardiaco, os termos sistole e diastole descrevem, respectivamente:","relaxamento ventricular e contracao ventricular.","contracao ventricular e relaxamento ventricular.","contracao atrial e relaxamento atrial, exclusivamente.","abertura valvar e fechamento valvar, sem relacao com contracao muscular.","fase de enchimento rapido e fase de enchimento lento.","B","enfermeiro","instituto-aocp","","anatomia-fisiologia","ciclo-cardiaco-e-sistema-de-conducao","","Sistole e a fase de contracao (ejecao de sangue); diastole e a fase de relaxamento (enchimento das camaras). A nomenclatura consolidada na terminologia fisiologica e aplicada tanto a atrios quanto a ventriculos, sendo mais frequentemente referida ao ciclo ventricular.","","","","","Tortora; Guyton & Hall.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Um enfermeiro, ao explicar a um paciente o trajeto da pequena circulacao (circulacao pulmonar), descreve corretamente a sequencia:","ventriculo esquerdo → aorta → pulmoes → atrio direito.","ventriculo direito → arterias pulmonares → pulmoes → veias pulmonares → atrio esquerdo.","atrio direito → ventriculo direito → aorta → pulmoes.","ventriculo direito → veias pulmonares → pulmoes → arterias pulmonares → atrio esquerdo.","atrio esquerdo → ventriculo esquerdo → arterias pulmonares → pulmoes.","B","enfermeiro","idecan","","anatomia-fisiologia","circulacao-sistemica-e-pulmonar","","A pequena circulacao parte do ventriculo direito, segue pelas arterias pulmonares ate os pulmoes (onde ocorre a hematose) e retorna pelas veias pulmonares ao atrio esquerdo.","","","","","Tortora.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Na grande circulacao (circulacao sistemica), o sangue oxigenado sai do ventriculo esquerdo, distribui-se aos tecidos do corpo e retorna ao coracao pelo atrio direito atraves de duas grandes veias. Essas veias sao:","Veias pulmonares","Veias cavas superior e inferior","Veia porta e veia cava inferior","Arterias carotidas","Veia azigo e veia hemiazigo","B","enfermeiro","instituto-consulplan","","anatomia-fisiologia","circulacao-sistemica-e-pulmonar","","O sangue venoso sistemico retorna ao atrio direito pelas veias cavas superior (drenando a porcao acima do diafragma) e inferior (drenando a porcao abaixo).","","","","","Tortora; Moore.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"O debito cardiaco, parametro fisiologico central na avaliacao hemodinamica do paciente, e definido como o produto entre:","pressao arterial sistolica e pressao arterial diastolica.","frequencia cardiaca e volume sistolico.","frequencia respiratoria e volume corrente.","pressao venosa central e resistencia vascular periferica, exclusivamente.","frequencia cardiaca e pressao arterial media.","B","enfermeiro","fundacao-fafipa","","anatomia-fisiologia","sistema-cardiovascular","","Debito cardiaco (DC) = frequencia cardiaca (FC) × volume sistolico (VS), representando o volume de sangue ejetado pelo ventriculo por minuto.","","","","","Guyton & Hall.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Os barorreceptores localizados no arco aortico e no seio carotideo atuam como mecanismo reflexo de curto prazo na regulacao da pressao arterial. Diante de uma queda aguda da pressao arterial, a resposta fisiologica esperada, mediada por esses receptores, e:","reducao da frequencia cardiaca e vasodilatacao, agravando a hipotensao.","aumento da frequencia cardiaca e vasoconstricao periferica, elevando a pressao arterial.","inibicao completa do sistema nervoso autonomo simpatico.","resposta exclusivamente renal, sem participacao do sistema nervoso autonomo.","nenhuma resposta, pois os barorreceptores so atuam em hipertensao.","B","enfermeiro","ibfc","","anatomia-fisiologia","sistema-cardiovascular","","A queda de pressao reduz o estiramento dos barorreceptores, diminuindo sua atividade inibitoria sobre o centro vasomotor; o resultado e aumento do tonus simpatico, elevando frequencia cardiaca e resistencia vascular periferica para restaurar a pressao arterial.","","","","","Guyton & Hall.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
"Em relacao a anatomia da arvore bronquica, e correto afirmar que o bronquio principal direito e, em comparacao ao esquerdo:","mais longo, mais estreito e mais horizontal.","mais curto, mais largo e mais verticalizado.","identico em calibre e trajeto ao esquerdo.","ausente, pois o pulmao direito recebe ar apenas pelo bronquio esquerdo.","mais longo e mais verticalizado, porem mais estreito.","B","enfermeiro","cebraspe","","anatomia-fisiologia","anatomia-das-vias-aereas-e-pulmoes","","O bronquio principal direito e mais curto, mais largo e mais verticalizado que o esquerdo, o que explica a maior frequencia de aspiracao de corpo estranho para o pulmao direito.","","","","","Tortora; Moore.","","ACTIVE","banco-de-questoes-enfermagem","1.0","inedito"
