id,status,organization,contest,year,board,position,questions,pdf,answer_key,imported,reviewed,approved,package,observations,verified,pdf_available,answer_key_available
ebserh-2025,SEEDED,EBSERH,concurso-publico-ebserh-assistencial-edital-3-2024,2025,fgv,enfermeiro,59,docs/work/ebserh-2025/source.pdf,docs/work/ebserh-2025/gabarito.pdf,true,true,true,banco-de-questoes-enfermagem,"Prova 001 — produção oficial concluída: 59 questões (60 - 1 anulada) importadas, testadas no Portal do Aluno e publicadas (Pacote/Versão/Distribuição já ACTIVE)",YES,YES,YES
ebserh-2016,CONCLUIDA,EBSERH,concurso-publico-ebserh-nacional-edital-03-2015-area-assistencial,2016,instituto-aocp,enfermeiro,50,docs/work/ebserh-2016/source.pdf,docs/work/ebserh-2016/gabarito.pdf,true,true,true,banco-de-questoes-enfermagem,"Prova 002 — Enfermeiro Saúde Mental (HUOL-UFRN), TEMPLATE OFICIAL DE PRODUÇÃO V1. Nível de Validação B (Gabarito Definitivo confirmado oficialmente pelo Edital nº 30/EBSERH, conteúdo específico irrecuperável). Auditoria de importação aprovada: 0 erros de integridade, 0 duplicidades novas, 3 questões (Q06/Q07/Q08) sem imagem vinculada por limitação estrutural do schema. Homologada e publicada — acervo 1168→1218.",YES,YES,YES
pref-goiania-2022,CONCLUIDA,Prefeitura Municipal de Goiânia,concurso-publico-prefeitura-municipal-de-goiania-edital-001-2020,2022,centro-selecao-ufg,enfermeiro,50,docs/work/pref-goiania-2022/source.pdf,docs/work/pref-goiania-2022/gabarito.pdf,true,true,true,banco-de-questoes-enfermagem,"Prova 003 — Especialista em Saúde, Enfermeiro Geral (Edital 001/2020, Cronograma E, prova 26/06/2022). Nível de Validação A (Gabarito Preliminar e Definitivo obtidos integralmente na fonte oficial; 2 questões anuladas: Q08 e Q26). Auditoria de importação aprovada: 0 problemas em 18 pontos verificados. Acervo 1218→1266.",YES,YES,YES
ebserh-2024,PLANNED,EBSERH,ebserh,2024,fgv,enfermeiro,0,,,false,false,false,,"Concurso nacional EBSERH",,,
ebserh-2023,PLANNED,EBSERH,ebserh,2023,fgv,enfermeiro,0,,,false,false,false,,"Concurso nacional EBSERH",,,
ses-sp-2025,PLANNED,SES-SP,ses-sp,2025,vunesp,enfermeiro,0,,,false,false,false,,"Concurso estadual de enfermagem — São Paulo",,,
ses-sp-2024,PLANNED,SES-SP,ses-sp,2024,vunesp,enfermeiro,0,,,false,false,false,,"Concurso estadual de enfermagem — São Paulo",,,
ses-sp-2023,PLANNED,SES-SP,ses-sp,2023,vunesp,enfermeiro,0,,,false,false,false,,"Concurso estadual de enfermagem — São Paulo",,,
ses-rj-2025,PLANNED,SES-RJ,ses-rj,2025,fgv,enfermeiro,0,,,false,false,false,,"Concurso estadual de enfermagem — Rio de Janeiro",,,
ses-rj-2024,PLANNED,SES-RJ,ses-rj,2024,fgv,enfermeiro,0,,,false,false,false,,"Concurso estadual de enfermagem — Rio de Janeiro",,,
ses-rj-2023,PLANNED,SES-RJ,ses-rj,2023,fgv,enfermeiro,0,,,false,false,false,,"Concurso estadual de enfermagem — Rio de Janeiro",,,
ses-mg-2025,PLANNED,SES-MG,ses-mg,2025,fgv,enfermeiro,0,,,false,false,false,,"Concurso estadual de enfermagem — Minas Gerais",,,
ses-mg-2024,PLANNED,SES-MG,ses-mg,2024,fgv,enfermeiro,0,,,false,false,false,,"Concurso estadual de enfermagem — Minas Gerais",,,
ses-mg-2023,PLANNED,SES-MG,ses-mg,2023,fgv,enfermeiro,0,,,false,false,false,,"Concurso estadual de enfermagem — Minas Gerais",,,
ses-ba-2025,PLANNED,SES-BA,ses-ba,2025,idib,enfermeiro,0,,,false,false,false,,"Concurso estadual de enfermagem — Bahia",,,
ses-ba-2024,PLANNED,SES-BA,ses-ba,2024,idib,enfermeiro,0,,,false,false,false,,"Concurso estadual de enfermagem — Bahia",,,
ses-ba-2023,PLANNED,SES-BA,ses-ba,2023,idib,enfermeiro,0,,,false,false,false,,"Concurso estadual de enfermagem — Bahia",,,
